# Om  Ob  h  ns w0 wa s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
2284500.0305212270 -1638952.4673308544 -4028858.5215415657 309018.4523633706 244295.6134067040 60978.7046036901 326527.0707014009 616825.3574749510 66.2762049108 635429.4041321615 64.7060544901 555144.4227207734 54.1260512347 521115.6554967530 49.4754147702
-1638952.4673308544 4647875.6269545602 87941.2895884573 -883702.6671080338 71058.4147431705 19465.2696728021 7843.8378881152 -86408.4716857858 -39.5264670673 -46235.2026307208 -36.1368401670 18920.4602651644 -27.5764485128 145059.3982867828 -21.0194803293
-4028858.5215415657 87941.2895884573 13810523.3777392339 114127.5221141461 -775410.2851503899 -154333.0443545480 -1676912.0709380782 -1856543.6134122922 -170.7281864057 -1821158.1923674801 -157.8244389752 -1552834.2636954580 -125.9952588060 -1491417.7875492179 -110.9203702778
309018.4523633706 -883702.6671080338 114127.5221141461 253565.5661617607 -55637.6411551118 -13343.8555604642 -40219.8558078703 -18713.2902766167 8.5425127817 -31052.2476154858 7.5125667780 -44339.7917067124 5.4154858182 -79080.0452173511 3.5779102488
244295.6134067040 71058.4147431705 -775410.2851503899 -55637.6411551118 70932.6359345316 16504.3341334658 88093.3640469652 124647.4660668206 8.6554741478 128861.7338841723 8.6862575686 114704.7679593803 7.3802458038 116439.2115229968 6.9274597437
60978.7046036901 19465.2696728021 -154333.0443545480 -13343.8555604642 16504.3341334658 4224.8320329957 13424.4057330054 25588.7645425349 1.6836949333 28818.0872706651 1.8626923924 27197.4134156989 1.6937852332 29010.1487071351 1.6856566496
326527.0707014009 7843.8378881152 -1676912.0709380782 -40219.8558078703 88093.3640469652 13424.4057330054 269067.2609414498 201144.3246321413 17.7070984361 193902.0931243268 16.0232516156 163904.8200155296 12.5956324633 159195.8256477366 11.0527899137
616825.3574749510 -86408.4716857858 -1856543.6134122922 -18713.2902766167 124647.4660668206 25588.7645425349 201144.3246321413 1012087.5679303958 84.3092388271 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
66.2762049108 -39.5264670673 -170.7281864057 8.5425127817 8.6554741478 1.6836949333 17.7070984361 84.3092388271 0.0093740957 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
635429.4041321615 -46235.2026307208 -1821158.1923674801 -31052.2476154858 128861.7338841723 28818.0872706651 193902.0931243268 0.0000000000 0.0000000000 1018575.1659656260 80.4909263719 0.0000000000 0.0000000000 0.0000000000 0.0000000000
64.7060544901 -36.1368401670 -157.8244389752 7.5125667780 8.6862575686 1.8626923924 16.0232516156 0.0000000000 0.0000000000 80.4909263719 0.0085486057 0.0000000000 0.0000000000 0.0000000000 0.0000000000
555144.4227207734 18920.4602651644 -1552834.2636954580 -44339.7917067124 114704.7679593803 27197.4134156989 163904.8200155296 0.0000000000 0.0000000000 0.0000000000 0.0000000000 892125.5065127396 66.4137620700 0.0000000000 0.0000000000
54.1260512347 -27.5764485128 -125.9952588060 5.4154858182 7.3802458038 1.6937852332 12.5956324633 0.0000000000 0.0000000000 0.0000000000 0.0000000000 66.4137620700 0.0067378861 0.0000000000 0.0000000000
521115.6554967530 145059.3982867828 -1491417.7875492179 -79080.0452173511 116439.2115229968 29010.1487071351 159195.8256477366 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 886241.7912847139 60.8495222557
49.4754147702 -21.0194803293 -110.9203702778 3.5779102488 6.9274597437 1.6856566496 11.0527899137 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 60.8495222557 0.0058839722
