# Om  Ob  h  ns w0 wa s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
469497.7735350142 -466118.2444307336 -575042.5415358515 57631.4085452432 40749.1370794331 11339.6871279690 33872.0544915567 78767.1742904778 4.9055445724 98166.0108058917 5.5723885282 101252.6009758758 5.4879307646 114708.5021187550 6.3043449127
-466118.2444307336 3361728.4605923658 -2282587.1619801321 -689176.7905515986 221098.6353306130 51343.3693682190 273594.6174504391 287156.4623114525 6.5383548942 314327.9431932473 6.9727590808 312264.8588961783 6.6947188475 395869.6581837859 8.1418770745
-575042.5415358515 -2282587.1619801321 4456477.7808975093 675467.5025641017 -384827.1181831987 -83825.1057357068 -609966.6709704900 -620354.1976204457 -22.8049073932 -649328.9500587722 -23.1658275491 -607524.8503236005 -21.0811719782 -683423.6295582886 -23.1138634722
57631.4085452432 -689176.7905515986 675467.5025641017 203912.6809570073 -81780.6334629270 -18836.1740608428 -95447.7437939507 -99978.5432130229 -2.5296624943 -108167.9267085909 -2.6554040105 -106101.7433177646 -2.5278789223 -130617.9558386143 -3.0113705241
40749.1370794331 221098.6353306130 -384827.1181831987 -81780.6334629270 44961.2789132370 10396.1302646692 51799.8820119359 61586.7800339868 2.0652208276 65831.3298756353 2.1428705701 62118.1411655311 1.9656699576 70376.4638269082 2.1646347659
11339.6871279690 51343.3693682190 -83825.1057357068 -18836.1740608428 10396.1302646692 2538.4926870793 9495.7102391273 12882.7751901341 0.4338308267 14895.3520694352 0.4868785773 14880.6157799485 0.4730714417 17688.3633461169 0.5465766455
33872.0544915567 273594.6174504391 -609966.6709704900 -95447.7437939507 51799.8820119359 9495.7102391273 119021.8612228456 78872.4252505675 2.7176507095 80423.4272603823 2.6929692323 73831.2249490908 2.4096041231 82707.9651015009 2.6319917711
78767.1742904778 287156.4623114525 -620354.1976204457 -99978.5432130229 61586.7800339868 12882.7751901341 78872.4252505675 387016.6101639717 13.9536708149 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.9055445724 6.5383548942 -22.8049073932 -2.5296624943 2.0652208276 0.4338308267 2.7176507095 13.9536708149 0.0005787638 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
98166.0108058917 314327.9431932473 -649328.9500587722 -108167.9267085909 65831.3298756353 14895.3520694352 80423.4272603823 0.0000000000 0.0000000000 412003.5396554355 14.4256533130 0.0000000000 0.0000000000 0.0000000000 0.0000000000
5.5723885282 6.9727590808 -23.1658275491 -2.6554040105 2.1428705701 0.4868785773 2.6929692323 0.0000000000 0.0000000000 14.4256533130 0.0005826620 0.0000000000 0.0000000000 0.0000000000 0.0000000000
101252.6009758758 312264.8588961783 -607524.8503236005 -106101.7433177646 62118.1411655311 14880.6157799485 73831.2249490908 0.0000000000 0.0000000000 0.0000000000 0.0000000000 391679.7799885313 13.3483543194 0.0000000000 0.0000000000
5.4879307646 6.6947188475 -21.0811719782 -2.5278789223 1.9656699576 0.4730714417 2.4096041231 0.0000000000 0.0000000000 0.0000000000 0.0000000000 13.3483543194 0.0005276876 0.0000000000 0.0000000000
114708.5021187550 395869.6581837859 -683423.6295582886 -130617.9558386143 70376.4638269082 17688.3633461169 82707.9651015009 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 448164.6319119993 14.9021676935
6.3043449127 8.1418770745 -23.1138634722 -3.0113705241 2.1646347659 0.5465766455 2.6319917711 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 14.9021676935 0.0005826873
