# Om  Ob  w0 wa h  ns s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
2481574.6940991273 -1806582.2369846704 266284.9565654638 64379.2690927404 -4147838.5704017547 348755.3110772998 401805.9467341539 677068.8102178717 65.9968245128 697870.1084698971 65.0629158138 612533.1945538226 55.0855776504 581108.8717647303 51.2652081664
-1806582.2369846704 4885968.2588440618 52730.7961371673 17911.5400414371 262539.0309720769 -931497.3607600924 -73856.4395815922 -141649.7025506428 -39.4672688716 -102763.4182474743 -36.7255133866 -30682.4947382400 -28.7180375454 98226.4334298571 -22.8670802526
266284.9565654638 52730.7961371673 74519.5069796339 17075.4431939789 -779997.0138227297 -52499.2581736473 98578.0480403948 129783.9931271710 8.5800160983 136221.9591504528 8.6613545875 122978.1031557917 7.4505137489 126747.2436646862 7.1543119122
64379.2690927404 17911.5400414371 17075.4431939789 4394.0705868275 -152153.8234825211 -13300.9070351475 13716.3089687746 25703.5658027488 1.6802830279 29469.2151489159 1.8576263679 28258.0747607039 1.6995462916 30668.8688497812 1.7182827032
-4147838.5704017547 262539.0309720769 -779997.0138227297 -152153.8234825211 12672190.7178138867 51651.2448580351 -1749053.7198578976 -1875406.8288349444 -147.7952581787 -1851934.8044145037 -139.2452213779 -1593523.7937982057 -113.8616728331 -1550687.6600688645 -103.7406632507
348755.3110772998 -931497.3607600924 -52499.2581736473 -13300.9070351475 51651.2448580351 267326.2110521299 -20953.6647458075 -5089.2870684899 8.6136736737 -17489.7154350000 7.7410733745 -32830.3640898314 5.7627867240 -68960.9865846705 4.0763395018
401805.9467341539 -73856.4395815922 98578.0480403948 13716.3089687746 -1749053.7198578976 -20953.6647458075 326321.0334439560 234254.9095782625 17.3185412283 227002.5124230062 16.0082764542 193094.0898041425 12.9265549382 188752.3291789521 11.7824577185
677068.8102178717 -141649.7025506428 129783.9931271710 25703.5658027488 -1875406.8288349444 -5089.2870684899 234254.9095782625 1095408.4882896331 83.5466136240 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
65.9968245128 -39.4672688716 8.5800160983 1.6802830279 -147.7952581787 8.6136736737 17.3185412283 83.5466136240 0.0080199761 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
697870.1084698971 -102763.4182474743 136221.9591504528 29469.2151489159 -1851934.8044145037 -17489.7154350000 227002.5124230062 0.0000000000 0.0000000000 1106422.2796220209 80.6170817199 0.0000000000 0.0000000000 0.0000000000 0.0000000000
65.0629158138 -36.7255133866 8.6613545875 1.8576263679 -139.2452213779 7.7410733745 16.0082764542 0.0000000000 0.0000000000 80.6170817199 0.0074587613 0.0000000000 0.0000000000 0.0000000000 0.0000000000
612533.1945538226 -30682.4947382400 122978.1031557917 28258.0747607039 -1593523.7937982057 -32830.3640898314 193094.0898041425 0.0000000000 0.0000000000 0.0000000000 0.0000000000 973388.6473311688 67.4391588355 0.0000000000 0.0000000000
55.0855776504 -28.7180375454 7.4505137489 1.6995462916 -113.8616728331 5.7627867240 12.9265549382 0.0000000000 0.0000000000 0.0000000000 0.0000000000 67.4391588355 0.0060238294 0.0000000000 0.0000000000
581108.8717647303 98226.4334298571 126747.2436646862 30668.8688497812 -1550687.6600688645 -68960.9865846705 188752.3291789521 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 972195.8483034413 63.0385712662
51.2652081664 -22.8670802526 7.1543119122 1.7182827032 -103.7406632507 4.0763395018 11.7824577185 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 63.0385712662 0.0054459735
