# Om  Ob  h  ns w0 wa s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
3295185.3865099046 -2432560.8757508062 -5790994.1260081362 580451.2572499849 317227.7957049961 79657.6268259412 437578.6500230989 894731.9119373003 127.3921716277 895178.8011862456 119.6638268137 756080.9697964578 95.5465008146 678194.7955612261 81.8099228227
-2432560.8757508062 5354216.8470563013 1781555.6339858763 -1117139.8566206046 15620.3399668560 7637.8413360237 -123397.5799407658 -327025.6536546433 -96.9178305584 -263186.5955231343 -85.9028094149 -143591.6921570093 -63.7444456924 22773.2267099314 -47.9577098990
-5790994.1260081362 1781555.6339858763 18402886.8880789615 -455937.4017981984 -887329.7243049536 -172090.6828371747 -2081543.1118854852 -2428508.7824254264 -318.3682134605 -2332629.6509266691 -284.0201356420 -1931962.3607010846 -216.1688215817 -1773212.8818607284 -176.7702976077
580451.2572499849 -1117139.8566206046 -455937.4017981984 332916.7845744061 -37026.5399444300 -9279.2348943258 2821.1219419105 61951.4613187054 27.6921673649 42482.2844420159 24.3295373040 11185.8513372545 17.7521558472 -36785.2898528603 12.9004797417
317227.7957049961 15620.3399668560 -887329.7243049536 -37026.5399444300 76831.9084862552 18089.9709739077 94076.2992849668 144354.4768453226 12.3550720436 147569.6310220947 12.3668872044 129048.9388796238 10.2797955328 127469.8423988760 9.2520062490
79657.6268259412 7637.8413360237 -172090.6828371747 -9279.2348943258 18089.9709739077 4732.3016814731 13443.6221932987 29794.5215573343 2.3179110982 33153.7938859652 2.5822417858 30736.4263611992 2.3177495482 31866.2558999856 2.2256746397
437578.6500230989 -123397.5799407658 -2081543.1118854852 2821.1219419105 94076.2992849668 13443.6221932987 310984.9902738961 242696.1639510916 29.8217957375 230279.0156496238 26.1130502692 190348.0932713965 19.6212933425 178646.4349493161 16.0846909090
894731.9119373003 -327025.6536546433 -2428508.7824254264 61951.4613187054 144354.4768453226 29794.5215573343 242696.1639510916 1272148.7632930160 143.3524659459 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
127.3921716277 -96.9178305584 -318.3682134605 27.6921673649 12.3550720436 2.3179110982 29.8217957375 143.3524659459 0.0240094745 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
895178.8011862456 -263186.5955231343 -2332629.6509266691 42482.2844420159 147569.6310220947 33153.7938859652 230279.0156496238 0.0000000000 0.0000000000 1256995.9169763906 132.8170751434 0.0000000000 0.0000000000 0.0000000000 0.0000000000
119.6638268137 -85.9028094149 -284.0201356420 24.3295373040 12.3668872044 2.5822417858 26.1130502692 0.0000000000 0.0000000000 132.8170751434 0.0209773192 0.0000000000 0.0000000000 0.0000000000 0.0000000000
756080.9697964578 -143591.6921570093 -1931962.3607010846 11185.8513372545 129048.9388796238 30736.4263611992 190348.0932713965 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1073426.9075976349 105.2113213550 0.0000000000 0.0000000000
95.5465008146 -63.7444456924 -216.1688215817 17.7521558472 10.2797955328 2.3177495482 19.6212933425 0.0000000000 0.0000000000 0.0000000000 0.0000000000 105.2113213550 0.0156437701 0.0000000000 0.0000000000
678194.7955612261 22773.2267099314 -1773212.8818607284 -36785.2898528603 127469.8423988760 31866.2558999856 178646.4349493161 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1025035.5129428421 90.4234632481
81.8099228227 -47.9577098990 -176.7702976077 12.9004797417 9.2520062490 2.2256746397 16.0846909090 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 90.4234632481 0.0125733874
