,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20295793.023821626,-11746687.54863746,3303093.8047179687,4250437.22572768,23970988.81148395,2111640.341134918,487971.05222927,-884335.0672928613,375518.3664388961,586871.489646164,691083.8631001648,727887.1587352187,776560.2674965657,695731.42164981,785004.4775086931,708568.0131835793,445313.6683429218,17719.605707199604,10020.996396279326,31058.962169614268
Omegab,-11746687.54863746,16925141.089290384,-4540069.691239979,-5418014.098902915,-32259283.55953391,-5658950.656665108,-1139287.5337338543,-2238569.2171725635,-1801536.5172371278,-1429923.0488288477,-1346657.9480857884,-1230529.2235667729,-1205121.663032748,-1017107.3958598806,-1093614.4275427498,-938281.7538918344,-541889.3419501764,297.395447605968,-1736.6757501538755,-201.92695817212498
h,3303093.8047179687,-4540069.691239979,1262279.1218581146,1616195.2126710494,9036475.770430535,1551625.0230897272,307190.1458704999,752073.1351770365,539167.3467556292,403131.85549551004,365121.79574525025,324721.82298487256,311806.8029092852,259877.7028868534,276987.36408349226,236127.75989980658,135834.2641732619,-200.04035612777594,586.4026064136037,-84.69670886084815
ns,4250437.22572768,-5418014.098902915,1616195.2126710494,2644762.310583197,10508509.22657453,1621660.6643908538,288663.20748385496,1517194.861509737,852807.661023948,521984.1710229442,390535.16962133563,286809.183157303,226850.1131119051,155901.7717483465,134108.49648978456,84641.0092154042,23608.705242771895,-874.6762096974885,1186.3813567892669,-893.7537621277778
sigma8,23970988.81148395,-32259283.55953391,9036475.770430535,10508509.22657453,80890960.37118606,14219731.597973086,2813754.4113982576,6113052.351519124,5175528.45438767,4050869.811541629,3691816.671683656,3228365.5837146747,3007252.3085930864,2415766.303597626,2478881.524376801,2056002.4101456897,1245772.9529301703,413.3143819110085,3357.9196896879603,1920.1975852095334
w0,2111640.341134918,-5658950.656665108,1551625.0230897272,1621660.6643908538,14219731.597973086,2983226.727761177,598823.0916159501,1193859.1056168927,999421.2310056486,794483.9554034477,736028.132606301,651801.2803289578,615237.6005145434,500155.38895624777,519230.8298382126,436311.40800052177,269054.33011534764,1383.3374548793695,-494.0417523788224,1948.7673482136963
wa,487971.05222927,-1139287.5337338543,307190.1458704999,288663.20748385496,2813754.4113982576,598823.0916159501,124557.90329063847,158355.12475437432,164083.12604617354,144946.09492718268,143992.0758312382,135018.18216482556,133908.99217802353,113627.38197086143,122966.43097255839,108140.78397711163,70327.25467161457,506.36911265584445,-59.254861012532416,758.4517485984854
b1,-884335.0672928613,-2238569.2171725635,752073.1351770365,1517194.861509737,6113052.351519124,1193859.1056168927,158355.12475437432,3679976.5518256663,368617.21692035143,7458.791774946095,3083.4967071694673,549.0714634533585,154.28209149064972,68.73037212909853,32.05919455950091,2.966206997196352,5.157638500036736,88.91595621176403,-253.06612297766884,50.57873196796948
b2,375518.3664388961,-1801536.5172371278,539167.3467556292,852807.661023948,5175528.45438767,999421.2310056486,164083.12604617354,368617.21692035143,1920060.3313720692,356418.2690654288,9274.383011201937,2414.8280095087357,390.5927829327964,29.67052618533572,12.765866632480163,1.7528803069128505,1.8284736941619786,-31.67506940494913,32.754095204781265,-31.843449360025044
b3,586871.489646164,-1429923.0488288477,403131.85549551004,521984.1710229442,4050869.811541629,794483.9554034477,144946.09492718268,7458.791774946095,356418.2690654288,1166558.9840194378,342229.1188951294,8771.42860118071,2044.3637739427547,296.20069324270213,29.572332650959495,6.260547377673704,0.8422241526634475,16.792139639121814,3.1186117097505335,16.76243514576363
