,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20300887.839926943,-14154616.164395468,3304018.7586346962,4376799.629072025,23970864.761493932,2110860.0957337357,487827.81598141853,-884290.0911150598,375518.6143038812,586411.1595239505,690963.1420410546,728086.658181642,776554.9955044973,695659.126962319,785060.570773679,708616.5009374096,445290.4483197208,17718.6241161053,10020.240857713417,31057.16291633752
Omegab,-14154616.164395468,24216618.106300034,-5448375.983682781,-6686176.979991316,-40377046.396930546,-7084156.053621612,-1421419.5704180626,-2852322.5280355355,-2323064.0428387513,-1836070.1652260409,-1716904.515799102,-1554948.1007571565,-1505703.9565040346,-1258420.466718201,-1342241.4145559042,-1144692.8437278096,-666731.7284806946,259.7669869269419,-2071.734492474444,-387.97072517667226
h,3304018.7586346962,-5448375.983682781,1262816.8621472463,1664133.7879462389,9037718.468643114,1551505.1227348708,307199.8779723625,752198.1678873007,539217.9125603442,403277.3405317727,365190.63514678745,324695.30471221375,311816.9332339504,259889.61433471012,277023.81477327587,236110.11424207102,135822.3078190488,-200.01621259882043,586.2342887490323,-84.72378856583836
ns,4376799.629072025,-6686176.979991316,1664133.7879462389,2757605.408461319,10933297.038462855,1695959.8256061687,303412.9730297996,1549134.7300419887,879952.0381445112,543223.1897844684,409908.41638251534,303795.0923484907,242705.00054701822,168597.5290435863,147100.52224154078,95397.99850623854,30122.909065004336,-872.4343966834682,1203.5460142959744,-883.7406587760071
sigma8,23970864.761493932,-40377046.396930546,9037718.468643114,10933297.038462855,80882653.77753188,14215358.333859162,2813232.6329695997,6112673.097105834,5175143.945635419,4050499.340740283,3691424.890192215,3227976.872833121,3006796.109615483,2415351.898310824,2478398.7484014416,2055519.3012411238,1245419.00484235,413.4798313132095,3356.678725261879,1919.983027676599
w0,2110860.0957337357,-7084156.053621612,1551505.1227348708,1695959.8256061687,14215358.333859162,2981785.213078114,598613.5828474361,1193467.3079225158,999027.4786122242,794342.608525952,735807.6645873606,651531.252857711,615028.1082791319,500010.64278015826,519049.72188955004,436152.0897766532,268949.0606429812,1383.2381516286064,-493.8938319039747,1948.6636542043198
wa,487827.81598141853,-1421419.5704180626,307199.8779723625,303412.9730297996,2813232.6329695997,598613.5828474361,124527.57284508136,158269.57386877656,164044.51008335818,144941.01271420135,144050.0548054459,135025.24677516514,133877.93708184757,113604.686887606,122907.47372260207,108083.51908517908,70293.74165416817,506.10347787673305,-59.276786902366965,758.0327171103221
b1,-884290.0911150598,-2852322.5280355355,752198.1678873007,1549134.7300419887,6112673.097105834,1193467.3079225158,158269.57386877656,3679366.936395501,368562.0424742293,7459.469067440838,3082.435674749881,548.9345162733357,154.27372359730282,68.71503820821192,32.053172695063154,2.965739026684537,5.156111397542945,88.89634405290765,-253.005017905334,50.56942275216962
b2,375518.6143038812,-2323064.0428387513,539217.9125603442,879952.0381445112,5175143.945635419,999027.4786122242,164044.51008335818,368562.0424742293,1919728.6857870864,356383.92093410704,9274.976147710075,2414.0870051637567,390.4417431135241,29.6820104276446,12.760967365884285,1.752220877218933,1.8278466361016625,-31.641052880267445,32.692185442988354,-31.815248140586977
b3,586411.1595239505,-1836070.1652260409,403277.3405317727,543223.1897844684,4050499.340740283,794342.608525952,144941.01271420135,7459.469067440838,356383.92093410704,1166348.347277223,342189.97052206367,8771.794114523094,2044.0166782176425,296.05768674161317,29.572143625655283,6.258284889268374,0.8419468925660655,16.80131650229701,3.092992628507517,16.769704821459825
b4,690963.1420410546,-1716904.515799102,365190.63514678745,409908.41638251534,3691424.890192215,735807.6645873606,144050.0548054459,3082.435674749881,9274.976147710075,342189.97052206367,953746.1503871717,302923.333756569,10594.482994108579,1811.912655352986,248.61453378733262,17.95764598273696,5.069723520417919,5.0220885371112125,-12.007253414848808,3.963316517182415
b5,728086.658181642,-1554948.1007571565,324695.30471221375,303795.0923484907,3227976.872833121,651531.252857711,135025.24677516514,548.9345162733357,2414.0870051637567,8771.794114523094,302923.333756569,768628.9967200742,268989.65052385535,8370.5074978552,1685.253808928603,135.1228627831389,11.051909968173199,-9.542677125413217,10.944474449555074,-4.679008350798691
b6,776554.9955044973,-1505703.9565040346,311816.9332339504,242705.00054701822,3006796.109615483,615028.1082791319,133877.93708184757,154.27372359730282,390.4417431135241,2044.0166782176425,10594.482994108579,268989.65052385535,706928.5860148227,232301.5178829045,11666.331342532929,1042.939629836157,75.3525352642819,35.40634214884256,-51.734452686286225,37.12292707768258
b7,695659.126962319,-1258420.466718201,259889.61433471012,168597.5290435863,2415351.898310824,500010.64278015826,113604.686887606,68.71503820821192,29.6820104276446,296.05768674161317,1811.912655352986,8370.5074978552,232301.5178829045,525724.7427663136,197902.9106756675,4903.248756456683,384.97345762000697,38.72596310662767,-51.19608959771331,45.85922687413429
b8,785060.570773679,-1342241.4145559042,277023.81477327587,147100.52224154078,2478398.7484014416,519049.72188955004,122907.47372260207,32.053172695063154,12.760967365884285,29.572143625655283,248.61453378733262,1685.253808928603,11666.331342532929,197902.9106756675,619052.3495970869,151245.80826524924,2769.021397136976,55.39733935342335,-12.156876822478953,83.14391014413356
b9,708616.5009374096,-1144692.8437278096,236110.11424207102,95397.99850623854,2055519.3012411238,436152.0897766532,108083.51908517908,2.965739026684537,1.752220877218933,6.258284889268374,17.95764598273696,135.1228627831389,1042.939629836157,4903.248756456683,151245.80826524924,578199.1873167477,75875.11110658513,-48.69052217872231,-26.65363579926816,-95.87319259209814
b10,445290.4483197208,-666731.7284806946,135822.3078190488,30122.909065004336,1245419.00484235,268949.0606429812,70293.74165416817,5.156111397542945,1.8278466361016625,0.8419468925660655,5.069723520417919,11.051909968173199,75.3525352642819,384.97345762000697,2769.021397136976,75875.11110658513,404478.1712306343,-267.21456264008657,-155.1602943721237,-467.5110974639924
AIA,17718.6241161053,259.7669869269419,-200.01621259882043,-872.4343966834682,413.4798313132095,1383.2381516286064,506.10347787673305,88.89634405290765,-31.641052880267445,16.80131650229701,5.0220885371112125,-9.542677125413217,35.40634214884256,38.72596310662767,55.39733935342335,-48.69052217872231,-267.21456264008657,3619.2311336766866,592.9322847937154,5793.799113631543
betaIA,10020.240857713417,-2071.734492474444,586.2342887490323,1203.5460142959744,3356.678725261879,-493.8938319039747,-59.276786902366965,-253.005017905334,32.692185442988354,3.092992628507517,-12.007253414848808,10.944474449555074,-51.734452686286225,-51.19608959771331,-12.156876822478953,-26.65363579926816,-155.1602943721237,592.9322847937154,1499.8034289432944,1469.9869595382172
etaIA,31057.16291633752,-387.97072517667226,-84.72378856583836,-883.7406587760071,1919.983027676599,1948.6636542043198,758.0327171103221,50.56942275216962,-31.815248140586977,16.769704821459825,3.963316517182415,-4.679008350798691,37.12292707768258,45.85922687413429,83.14391014413356,-95.87319259209814,-467.5110974639924,5793.799113631543,1469.9869595382172,9471.006870555068
