,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20281166.23146299,-12948797.478135107,3264912.015498233,4287277.54022756,23930459.089495726,2083095.0808062684,510435.8989299584,-889628.8433782855,372208.3430818772,584304.6473943623,689184.3441963764,726390.7393897154,775130.7438973458,694624.6339712336,783989.0855082435,707715.187332784,444807.97003413626,17720.8761665599,10023.719041880244,31061.936566872882
Omegab,-12948797.478135107,20419874.363865163,-4949561.226040629,-6016812.762453812,-36384561.08036736,-6353785.936301585,-1319559.9987224094,-2547434.5560945384,-2065355.4213878147,-1636522.8583747856,-1535242.0102108766,-1395753.6457593427,-1358723.7098733317,-1140803.6616907436,-1220622.805400725,-1043638.7313606732,-605574.1872624826,279.1935755399491,-1906.0161711610576,-294.6913089698443
h,3264912.015498233,-4949561.226040629,1239005.0149217758,1624440.1661189871,8899202.204964118,1518020.708066603,310605.3364060403,747837.6405718949,533650.4468234683,397432.72792909434,358812.0667369755,318350.53412644204,305261.19515053113,254168.61832722637,270645.14172747015,230354.9945055563,131877.90134033345,-207.53918878155525,582.7595646786756,-97.63816231132961
ns,4287277.54022756,-6016812.762453812,1624440.1661189871,2682260.023219879,10652440.129302217,1637984.6689851559,304397.7620826447,1527834.8278668646,862047.4190707802,529195.5336525661,397188.0810213365,292644.22207659757,232270.41049507365,160226.0814006053,138547.29132792572,88320.62129366616,25823.492263197913,-874.5179746970157,1192.895338238248,-891.0210290984962
sigma8,23930459.089495726,-36384561.08036736,8899202.204964118,10652440.129302217,80898612.67361546,14152895.397933489,2895476.998418409,6113138.99412362,5175998.35462101,4051270.264071529,3692282.326519101,3228828.882426747,3007699.796899745,2416165.7614127966,2479319.718818431,2056373.7691110356,1245975.9312244803,412.6863218620521,3359.254587378348,1919.734195405239
w0,2083095.0808062684,-6353785.936301585,1518020.708066603,1637984.6689851559,14152895.397933489,2959702.864677689,610777.6215186144,1188869.67212189,995151.8490551666,791280.6291091917,733012.9626407486,649110.3909278356,612787.8533749613,498184.4838707351,517219.83850895,434645.9622433403,268037.5458922722,1383.5170834519715,-497.29128418696587,1947.8026553854438
wa,510435.8989299584,-1319559.9987224094,310605.3364060403,304397.7620826447,2895476.998418409,610777.6215186144,130320.17971039677,164506.96946541284,169308.7475710863,149043.4017982913,147780.88636277808,138309.54090203423,136947.77518468632,116077.10016563119,125464.34548742836,110207.48100745384,71579.75810306,506.73821485712415,-55.976281223734006,760.2729584515944
b1,-889628.8433782855,-2547434.5560945384,747837.6405718949,1527834.8278668646,6113138.99412362,1188869.67212189,164506.96946541284,3680710.755850727,368675.71823711216,7457.935556140848,3084.5938119246375,549.2373620090251,154.28177494134852,68.74606875579563,32.06480341469958,2.9670180944020057,5.1580447324016445,88.96083376464449,-253.1961496300765,50.603104228034915
b2,372208.3430818772,-2065355.4213878147,533650.4468234683,862047.4190707802,5175998.35462101,995151.8490551666,169308.7475710863,368675.71823711216,1920408.915636731,356453.13016595936,9274.107614702898,2415.3865142382892,390.7744678298018,29.6490128765565,12.768274072901075,1.752971206801658,1.8285159864170233,-31.67700363041218,32.73582883060806,-31.84833447793342
b3,584304.6473943623,-1636522.8583747856,397432.72792909434,529195.5336525661,4051270.264071529,791280.6291091917,149043.4017982913,7457.935556140848,356453.13016595936,1166760.171437384,342267.9472246117,8771.492637568343,2044.5055987739215,296.35574163185305,29.56696846413955,6.259990967880032,0.8423119599428451,16.828979038454786,3.0637771430626657,16.793701325991684
b4,689184.3441963764,-1535242.0102108766,358812.0667369755,397188.0810213365,3692282.326519101,733012.9626407486,147780.88636277808,3084.5938119246375,9274.107614702898,342267.9472246117,954064.6857215634,302995.32379799994,10594.103109995964,1812.4789580567112,248.79409392296174,17.9612614021428,5.0708163249946505,5.052917151705298,-12.047626701303711,3.9919191023470137
b5,726390.7393897154,-1395753.6457593427,318350.53412644204,292644.22207659757,3228828.882426747,649110.3909278356,138309.54090203423,549.2373620090251,2415.3865142382892,8771.492637568343,302995.32379799994,768884.5515873597,269055.3183679371,8370.312730459282,1685.9701817410357,135.19493699436552,11.05510002840717,-9.547284169288346,10.949000320895944,-4.681645301410192
b6,775130.7438973458,-1358723.7098733317,305261.19515053113,232270.41049507365,3007699.796899745,612787.8533749613,136947.77518468632,154.28177494134852,390.7744678298018,2044.5055987739215,10594.103109995964,269055.3183679371,707167.3598251351,232362.75030298316,11666.889564274277,1043.417450364234,75.38364208374396,35.42934793055387,-51.766357100686335,37.14786610063142
b7,694624.6339712336,-1140803.6616907436,254168.61832722637,160226.0814006053,2416165.7614127966,498184.4838707351,116077.10016563119,68.74606875579563,29.6490128765565,296.35574163185305,1812.4789580567112,8370.312730459282,232362.75030298316,525907.6750825953,197957.53133620622,4904.149634297242,385.1552877808984,38.74661513572615,-51.22322154205147,45.88467288842393
b8,783989.0855082435,-1220622.805400725,270645.14172747015,138547.29132792572,2479319.718818431,517219.83850895,125464.34548742836,32.06480341469958,12.768274072901075,29.56696846413955,248.79409392296174,1685.9701817410357,11666.889564274277,197957.53133620622,619279.5984369677,151290.74660192276,2769.770451615569,55.430187440483174,-12.174871383981833,83.18766451805615
b9,707715.187332784,-1043638.7313606732,230354.9945055563,88320.62129366616,2056373.7691110356,434645.9622433403,110207.48100745384,2.9670180944020057,1.752971206801658,6.259990967880032,17.9612614021428,135.19493699436552,1043.417450364234,4904.149634297242,151290.74660192276,578423.1777495188,75902.16931967912,-48.647689879483245,-26.63244491843581,-95.80312356713848
b10,444807.97003413626,-605574.1872624826,131877.90134033345,25823.492263197913,1245975.9312244803,268037.5458922722,71579.75810306,5.1580447324016445,1.8285159864170233,0.8423119599428451,5.0708163249946505,11.05510002840717,75.38364208374396,385.1552877808984,2769.770451615569,75902.16931967912,404638.657024382,-267.2061095672321,-155.14960247139538,-467.49358865241555
AIA,17720.8761665599,279.1935755399491,-207.53918878155525,-874.5179746970157,412.6863218620521,1383.5170834519715,506.73821485712415,88.96083376464449,-31.67700363041218,16.828979038454786,5.052917151705298,-9.547284169288346,35.42934793055387,38.74661513572615,55.430187440483174,-48.647689879483245,-267.2061095672321,3620.4204868329807,592.9512599529127,5795.635820811546
betaIA,10023.719041880244,-1906.0161711610576,582.7595646786756,1192.895338238248,3359.254587378348,-497.29128418696587,-55.976281223734006,-253.1961496300765,32.73582883060806,3.0637771430626657,-12.047626701303711,10.949000320895944,-51.766357100686335,-51.22322154205147,-12.174871383981833,-26.63244491843581,-155.14960247139538,592.9512599529127,1500.3811929165022,1470.2320476888844
etaIA,31061.936566872882,-294.6913089698443,-97.63816231132961,-891.0210290984962,1919.734195405239,1947.8026553854438,760.2729584515944,50.603104228034915,-31.84833447793342,16.793701325991684,3.9919191023470137,-4.681645301410192,37.14786610063142,45.88467288842393,83.18766451805615,-95.80312356713848,-467.49358865241555,5795.635820811546,1470.2320476888844,9473.925195432323
