,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20280695.128349017,-12951776.206909629,3268388.5523216375,4287598.083137307,23932980.60232231,2083818.8944902637,510587.4143281256,-888321.8417676581,372342.4083549198,584478.1990854086,689388.2889577298,726400.4043408526,774955.7029215166,694377.7831356975,783747.2521971536,707635.0327709101,444764.4749838231,17723.469047677845,10022.966950622073,31065.640922987906
Omegab,-12951776.206909629,20429568.53459204,-4955306.467394042,-6017739.337886698,-36391342.36712226,-6355484.910683082,-1320060.4760661656,-2548870.4551044577,-2062326.845015183,-1634569.289336061,-1536903.2277649436,-1398884.935971301,-1360373.2146162756,-1140393.12604979,-1219365.9937454415,-1043245.8903654362,-606209.005995784,278.06868718078476,-1906.2421727483054,-296.485640390865
h,3268388.5523216375,-4955306.467394042,1241359.9239019726,1625707.88591587,8910461.789416464,1520076.069479765,311044.1265531706,748420.3878325304,534228.8913158654,397871.46000247967,359377.7783010867,318960.603987675,305755.73470990825,254497.61609925824,270977.58529889066,230594.65513833673,132001.14021674872,-207.37970200685237,582.8897425398551,-97.3433111375578
ns,4287598.083137307,-6017739.337886698,1625707.88591587,2682615.091665924,10652052.295775369,1637884.8522171888,304296.1297311852,1528069.82551772,862074.03220365,529257.480273975,397167.7571553844,292458.0619240421,232049.4254784896,160081.69578903093,138425.85463475107,88210.02558404347,25751.92297839012,-874.5034220042141,1192.6878076140606,-891.077686285051
sigma8,23932980.60232231,-36391342.36712226,8910461.789416464,10652052.295775369,80905613.37934749,14154819.54000724,2896091.442131525,6113768.487995971,5176122.814921755,4051330.2187953102,3692363.2655435414,3228850.455960066,3007611.3036906654,2416058.1083012028,2479269.3603064516,2056387.332626224,1245967.9056692459,412.8993753288123,3359.029685502518,1919.978778205145
w0,2083818.8944902637,-6355484.910683082,1520076.069479765,1637884.8522171888,14154819.54000724,2960140.867190669,610942.4596278579,1188898.7475760141,995230.7806396754,791392.3241557371,733045.0710709634,649079.0906293993,612821.9362347441,498235.7286083916,517232.3967161443,434670.3456186347,268052.0922058566,1383.3682305643115,-497.0665837834488,1947.6593998757223
wa,510587.4143281256,-1320060.4760661656,311044.1265531706,304296.1297311852,2896091.442131525,610942.4596278579,130379.77478207274,164271.377424988,169311.68768979967,149080.90564976045,147835.8933434132,138407.56001339608,137053.56665770043,116139.86364037682,125489.9718159948,110193.76752874334,71554.70448138056,506.721191244187,-56.007978863125814,760.233335492487
b1,-888321.8417676581,-2548870.4551044577,748420.3878325304,1528069.82551772,6113768.487995971,1188898.7475760141,164271.377424988,3680368.2837824314,368650.824093115,7458.28810609957,3084.137707493348,549.1741442751162,154.2796739121348,68.74060197147722,32.0629328660608,2.966616433444079,5.157904666929604,88.937642487495,-253.1280672793548,50.59082605625323
b2,372342.4083549198,-2062326.845015183,534228.8913158654,862074.03220365,5176122.814921755,995230.7806396754,169311.68768979967,368650.824093115,1920264.1130011259,356439.453842655,9274.119355513432,2415.2032565858303,390.7074192357014,29.658112165118766,12.767720516919862,1.7532195210558434,1.8285835770984609,-31.682993294144275,32.760452305310075,-31.851131656101153
b3,584478.1990854086,-1634569.289336061,397871.46000247967,529257.480273975,4051330.2187953102,791392.3241557371,149080.90564976045,7458.28810609957,356439.453842655,1166686.0302185996,342253.7385676416,8771.394123256354,2044.4895503513687,296.29791687949046,29.57189907024175,6.260755462471971,0.8422680910769511,16.804147041518142,3.1038183565676185,16.772875340396947
b4,689388.2889577298,-1536903.2277649436,359377.7783010867,397167.7571553844,3692363.2655435414,733045.0710709634,147835.8933434132,3084.137707493348,9274.119355513432,342253.7385676416,954013.2089965118,302983.1833723173,10594.064912354957,1812.4320606211295,248.76822428297353,17.96379547566791,5.071897417573308,5.013484985703329,-11.997245335668593,3.9543245191179306
b5,726400.4043408526,-1398884.935971301,318960.603987675,292458.0619240421,3228850.455960066,649079.0906293993,138407.56001339608,549.1741442751162,2415.2032565858303,8771.394123256354,302983.1833723173,768846.2427723976,269044.9960132013,8370.29779289606,1685.8980670637545,135.19170258977155,11.056260643069313,-9.566664059785168,10.973870500482054,-4.7018628539551965
b6,774955.7029215166,-1360373.2146162756,305755.73470990825,232049.4254784896,3007611.3036906654,612821.9362347441,137053.56665770043,154.2796739121348,390.7074192357014,2044.4895503513687,10594.064912354957,269044.9960132013,707134.3529341042,232353.8066328184,11666.811654710926,1043.3803564778684,75.38676807848715,35.41270639789973,-51.74645227905751,37.12871239710826
b7,694377.7831356975,-1140393.12604979,254497.61609925824,160081.69578903093,2416058.1083012028,498235.7286083916,116139.86364037682,68.74060197147722,29.658112165118766,296.29791687949046,1812.4320606211295,8370.29779289606,232353.8066328184,525884.9306020159,197950.12755700338,4904.064313990123,385.1462008865648,38.732304483845326,-51.21526527953247,45.86424842248344
b8,783747.2521971536,-1219365.9937454415,270977.58529889066,138425.85463475107,2479269.3603064516,517232.3967161443,125489.9718159948,32.0629328660608,12.767720516919862,29.57189907024175,248.76822428297353,1685.8980670637545,11666.811654710926,197950.12755700338,619254.2785703456,151285.20440775767,2769.723012876762,55.41663540405544,-12.160081790196601,83.17296222278341
b9,707635.0327709101,-1043245.8903654362,230594.65513833673,88210.02558404347,2056387.332626224,434670.3456186347,110193.76752874334,2.966616433444079,1.7532195210558434,6.260755462471971,17.96379547566791,135.19170258977155,1043.3803564778684,4904.064313990123,151285.20440775767,578399.2498630704,75899.15196791948,-48.7034157912095,-26.65411601846242,-95.89822003280968
b10,444764.4749838231,-606209.005995784,132001.14021674872,25751.92297839012,1245967.9056692459,268052.0922058566,71554.70448138056,5.157904666929604,1.8285835770984609,0.8422680910769511,5.071897417573308,11.056260643069313,75.38676807848715,385.1462008865648,2769.723012876762,75899.15196791948,404622.4368488024,-267.3231588391544,-155.22264106015754,-467.7010186060824
AIA,17723.469047677845,278.06868718078476,-207.37970200685237,-874.5034220042141,412.8993753288123,1383.3682305643115,506.721191244187,88.937642487495,-31.682993294144275,16.804147041518142,5.013484985703329,-9.566664059785168,35.41270639789973,38.732304483845326,55.41663540405544,-48.7034157912095,-267.3231588391544,3620.667130734451,593.0778481962345,5796.0635283649735
betaIA,10022.966950622073,-1906.2421727483054,582.8897425398551,1192.6878076140606,3359.029685502518,-497.0665837834488,-56.007978863125814,-253.1280672793548,32.760452305310075,3.1038183565676185,-11.997245335668593,10.973870500482054,-51.74645227905751,-51.21526527953247,-12.160081790196601,-26.65411601846242,-155.22264106015754,593.0778481962345,1500.442606932053,1470.4491229766725
etaIA,31065.640922987906,-296.485640390865,-97.3433111375578,-891.077686285051,1919.978778205145,1947.6593998757223,760.233335492487,50.59082605625323,-31.851131656101153,16.772875340396947,3.9543245191179306,-4.7018628539551965,37.12871239710826,45.86424842248344,83.17296222278341,-95.89822003280968,-467.7010186060824,5796.0635283649735,1470.4491229766725,9474.665575892732
