,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5977850.577526519,-1450324.3067455294,363628.27381685865,436465.48546455073,2348496.69066604,-544587.2856971617,-97087.8018607945,-642024.0826209387,-182450.95801146276,-75307.12446973586,-46252.20462081472,-18648.491774071874,-8379.867765999235,-1531.7280713848568,933.9762071445766,-559.9850685106767,-9560.050696888531,9589.185957923954,4819.778754315281,16580.271685868905
Omegab,-1450324.3067455294,2440264.9909485485,-469763.7750769531,-434570.26881775225,-485645.77756476507,48769.28040841619,15757.842325197953,-48968.55539409763,-53262.2453260007,-30579.156058213364,-24117.94494545529,-9879.979288597886,-504.68811401928724,11954.015119818721,28210.76530207463,44307.89502068708,74912.98636253978,623.0475093595447,-428.40843349612186,798.1609020635115
h,363628.27381685865,-469763.7750769531,102319.38163482635,111863.27542260355,84562.58387731954,-27893.363446602816,-7183.792130066964,10143.29821303191,8372.157110062057,3338.0488898216254,1239.3444697921768,-1275.2308749251192,-3631.075303517519,-6484.883824703728,-9814.338369581978,-14739.110956312632,-19659.450704046623,-201.49633326562434,163.4146575360368,-248.1995137365237
ns,436465.48546455073,-434570.26881775225,111863.27542260355,215746.36987887518,-494385.92828377057,-164623.68466823729,-36163.465894297275,-18838.104895041077,-33927.26072956535,-31946.561853398623,-38798.45148663844,-34227.45507379391,-37970.609727874,-39802.867955301845,-43200.03898050896,-50489.62866756929,-47399.24428750589,-386.7430472143802,347.0046088848668,-462.1610887082253
sigma8,2348496.69066604,-485645.77756476507,84562.58387731954,-494385.92828377057,7494239.5799290985,1056554.1948172238,213135.98796705325,565927.1737068234,474941.33699463226,309918.4654519916,315953.533974529,244233.23520139794,245186.42128146172,235828.55417190414,237248.45784913766,258551.3162452294,221331.92341607224,-884.9083007651252,2252.939134736871,-506.86952967141514
w0,-544587.2856971617,48769.28040841619,-27893.363446602816,-164623.68466823729,1056554.1948172238,330815.97447795275,67781.04167214598,166644.8454723383,123763.16543283351,82462.04529956964,82216.20400092096,61872.01218124926,60662.51781390842,56905.429716253166,56285.51127332471,61217.858163656325,52447.64302903447,183.362793822051,163.96981174885101,347.67339753617506
wa,-97087.8018607945,15757.842325197953,-7183.792130066964,-36163.465894297275,213135.98796705325,67781.04167214598,14590.19901824727,21528.609160305874,20594.683405791046,15630.532184972508,16808.02227337901,13422.279277010819,13750.305193968481,13397.436116319885,13712.828794686222,15445.427921219962,13816.063709603235,125.88209321637827,64.43595936080865,218.98971694775517
b1,-642024.0826209387,-48968.55539409763,10143.29821303191,-18838.104895041077,565927.1737068234,166644.8454723383,21528.609160305874,509907.22343445505,44279.08131226744,753.9270254876695,632.0746029594318,-1.3217778698288731,53.566504736185394,3.1039050137141433,4.061777673701003,-0.11959499753133948,1.4677251851730024,-7.830400840611312,22.371485389110134,-4.17539712140174
b2,-182450.95801146276,-53262.2453260007,8372.157110062057,-33927.26072956535,474941.33699463226,123763.16543283351,20594.683405791046,44279.08131226744,264112.7891224827,34060.41552432786,289.90457079287995,694.7221357836944,-0.20481621481041934,21.20581953183297,6.541974908013075,0.10049518586718004,0.9383149904986811,-73.63630701002451,170.59079221875672,-55.01101894028387
b3,-75307.12446973586,-30579.156058213364,3338.0488898216254,-31946.561853398623,309918.4654519916,82462.04529956964,15630.532184972508,753.9270254876695,34060.41552432786,143482.3826647382,34243.282768928824,-257.88265270248854,535.7166378201713,28.007128183551053,3.0831513582396806,6.228195078891108,-0.09768293288121524,-71.9821547060784,129.7499231862683,-59.68504225318981
