,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5965359.009531301,-1567691.285270784,369204.2694965452,440294.16814289516,2339771.9493812714,-545355.0198560748,-94423.15385049266,-656858.5410530996,-163505.31704534794,-80540.45183087936,-43683.06594846559,-20041.569778707635,-8209.10220244911,-1298.4071979762466,1146.8477755566755,-630.0970974657066,-9758.144061231184,9624.5967890443,4850.50711570147,16645.432597221246
Omegab,-1567691.285270784,2508677.9259434943,-476209.309661394,-410832.0709185077,-864910.1158294826,-4307.956216098752,4022.2547325073247,-80079.94785507873,-72434.25665983009,-49523.10436396286,-37884.137276088964,-24288.65333457541,-13211.776780448847,247.2529420745359,16737.900252557258,30809.39983875982,63526.67825381891,668.2210179864834,-541.3463965873025,824.7448315824528
h,369204.2694965452,-476209.309661394,102788.92907530948,110757.95217995788,103358.13926192031,-25252.63541203829,-6527.1728729666165,11921.562262915179,8998.627184956367,4464.374824356524,1960.5930221894232,-617.512680056592,-3191.3758600039537,-5505.391656282025,-9669.845534986529,-13844.853383109386,-19047.079261560746,-202.95752394913416,168.99237234751968,-248.3115367076136
ns,440294.16814289516,-410832.0709185077,110757.95217995788,213976.44203009922,-481495.58855575445,-162311.40844112303,-36260.2864651671,-18638.432221354196,-30756.13150696177,-33284.15658926199,-35842.776236719066,-36180.28705551055,-39053.39799965144,-36489.149152877784,-45100.65720399436,-48911.11851701758,-46872.14987004084,-388.8310253275017,349.0791694168548,-464.53977073408134
sigma8,2339771.9493812714,-864910.1158294826,103358.13926192031,-481495.58855575445,7487730.749148357,1050259.0968105234,220688.914126458,581555.7200549796,442600.0846418842,330594.3780281785,296856.71867603116,262407.8404236828,254452.04642168374,218081.25450606557,250334.4625151073,252335.37260095915,220637.07009095672,-858.3586940338282,2260.5186572483717,-463.11470670601125
w0,-545355.0198560748,-4307.956216098752,-25252.63541203829,-162311.40844112303,1050259.0968105234,328561.2109878893,68539.61781353354,171334.8425801951,113752.64262251953,87506.45057080445,76940.69172801459,66150.21355862472,62590.80882961829,52344.56802863719,59117.076781032054,59481.580049117954,52098.00906941907,177.6805718086058,150.99715741837076,334.1561623554967
wa,-94423.15385049266,4022.2547325073247,-6527.1728729666165,-36260.2864651671,220688.914126458,68539.61781353354,14996.31125341788,22897.558303379214,19439.507535074215,16933.737232561747,16054.49000554461,14637.500007149349,14505.624984154783,12585.405452055396,14703.1403101603,15319.620925095109,13994.418269405074,122.11271570458011,63.154873685904086,212.75095003805114
b1,-656858.5410530996,-80079.94785507873,11921.562262915179,-18638.432221354196,581555.7200549796,171334.8425801951,22897.558303379214,525173.9074242892,44699.24521105062,488.2486808059082,667.0119798166055,13.758764921675745,43.67579497580676,5.36758093081829,3.6593050574322543,-0.0017780967156140887,1.3909983593580513,-8.226915155168811,23.433699599513282,-4.287235530963311
b2,-163505.31704534794,-72434.25665983009,8998.627184956367,-30756.13150696177,442600.0846418842,113752.64262251953,19439.507535074215,44699.24521105062,238661.12582468466,33517.961363866656,49.86443516169466,722.5897922893222,-20.780698811258695,21.47129505597372,5.932689095216476,0.10508319872181496,0.8897858997933678,-67.6572307067357,158.1139839537612,-50.3955967521388
b3,-80540.45183087936,-49523.10436396286,4464.374824356524,-33284.15658926199,330594.3780281785,87506.45057080445,16933.737232561747,488.2486808059082,33517.961363866656,157932.77050314477,34258.49145629662,-158.3181842868144,574.5408468903042,15.335543231611735,4.105383762950685,5.374175272188352,0.04229874659170282,-77.26849200929814,139.75981481503047,-64.1070863074378
b4,-43683.06594846559,-37884.137276088964,1960.5930221894232,-35842.776236719066,296856.71867603116,76940.69172801459,16054.49000554461,667.0119798166055,49.86443516169466,34258.49145629662,127271.19718068266,30747.11774164639,214.3927675227169,410.6062568187725,53.569691829482714,6.65933184129252,3.9636671536261625,-126.26174926407668,161.4887539343153,-121.10858236377634
b5,-20041.569778707635,-24288.65333457541,-617.512680056592,-36180.28705551055,262407.8404236828,66150.21355862472,14637.500007149349,13.758764921675745,722.5897922893222,-158.3181842868144,30747.11774164639,102996.1482753373,27816.516393711216,455.0756798906335,355.53476089073087,59.265767005547595,7.7461727494047485,-88.14004874927997,112.36462312461468,-88.87101872947689
b6,-8209.10220244911,-13211.776780448847,-3191.3758600039537,-39053.39799965144,254452.04642168374,62590.80882961829,14505.624984154783,43.67579497580676,-20.780698811258695,574.5408468903042,214.3927675227169,27816.516393711216,96540.92799976419,24551.542422883413,1000.4788304810947,280.3776777711897,50.15076822367044,-47.77764780751538,47.81554485676359,-58.936551682011064
b7,-1298.4071979762466,247.2529420745359,-5505.391656282025,-36489.149152877784,218081.25450606557,52344.56802863719,12585.405452055396,5.36758093081829,21.47129505597372,15.335543231611735,410.6062568187725,455.0756798906335,24551.542422883413,76721.69554395867,20525.43649728706,716.8314198514767,117.89360254365378,-35.032280951713766,20.847804290172423,-47.45183345797724
b8,1146.8477755566755,16737.900252557258,-9669.845534986529,-45100.65720399436,250334.4625151073,59117.076781032054,14703.1403101603,3.6593050574322543,5.932689095216476,4.105383762950685,53.569691829482714,355.53476089073087,1000.4788304810947,20525.43649728706,95432.23725631162,16996.93395534352,631.110260273546,-37.605317575149506,28.573241375884113,-45.805646345423774
b9,-630.0970974657066,30809.39983875982,-13844.853383109386,-48911.11851701758,252335.37260095915,59481.580049117954,15319.620925095109,-0.0017780967156140887,0.10508319872181496,5.374175272188352,6.65933184129252,59.265767005547595,280.3776777711897,716.8314198514767,16996.93395534352,98838.15253546885,11623.64243029909,-152.82588758823658,-50.0960175173701,-260.81461555530456
b10,-9758.144061231184,63526.67825381891,-19047.079261560746,-46872.14987004084,220637.07009095672,52098.00906941907,13994.418269405074,1.3909983593580513,0.8897858997933678,0.04229874659170282,3.9636671536261625,7.7461727494047485,50.15076822367044,117.89360254365378,631.110260273546,11623.64243029909,90078.02708140566,-370.2548205934896,-223.2129686152548,-652.1624538508602
AIA,9624.5967890443,668.2210179864834,-202.95752394913416,-388.8310253275017,-858.3586940338282,177.6805718086058,122.11271570458011,-8.226915155168811,-67.6572307067357,-77.26849200929814,-126.26174926407668,-88.14004874927997,-47.77764780751538,-35.032280951713766,-37.605317575149506,-152.82588758823658,-370.2548205934896,1874.8651581784825,444.0380229338739,3052.7328813898544
betaIA,4850.50711570147,-541.3463965873025,168.99237234751968,349.0791694168548,2260.5186572483717,150.99715741837076,63.154873685904086,23.433699599513282,158.1139839537612,139.75981481503047,161.4887539343153,112.36462312461468,47.81554485676359,20.847804290172423,28.573241375884113,-50.0960175173701,-223.2129686152548,444.0380229338739,735.6140385160143,956.7131799626884
etaIA,16645.432597221246,824.7448315824528,-248.3115367076136,-464.53977073408134,-463.11470670601125,334.1561623554967,212.75095003805114,-4.287235530963311,-50.3955967521388,-64.1070863074378,-121.10858236377634,-88.87101872947689,-58.936551682011064,-47.45183345797724,-45.805646345423774,-260.81461555530456,-652.1624538508602,3052.7328813898544,956.7131799626884,5058.437058125101
