,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5978476.234265115,-1569467.535341846,363458.663383116,440837.0340634379,2345511.0885255476,-547272.29849879,-94890.358634658,-642614.678302565,-182748.70791951456,-75475.6103247811,-46396.94574852506,-18761.568753298998,-8490.19335397633,-1628.9161692999623,851.0466081832446,-646.1246093406644,-9640.6609315639,9589.12926725815,4819.278962228011,16579.995791247067
Omegab,-1569467.535341846,2505181.9107332025,-479473.1918155728,-410882.09053722624,-868138.6034165994,-4370.943539245924,4021.137262249125,-77575.4583794437,-77735.07955952175,-46439.22117922593,-40231.11643987587,-22393.51917300836,-13040.040525766042,-99.40591942828178,16038.555600028081,31101.76371061001,63590.46171356429,669.6558079293447,-541.9936336031245,826.7865516588663
h,363458.663383116,-479473.1918155728,105426.84656189325,115477.19918006775,63038.55748484193,-31778.64832955514,-7915.345716701432,8515.448126403344,6937.599952207391,2405.7511615352396,285.00219882585225,-2026.506859211691,-4408.719094451976,-7266.723941440942,-10656.724351493693,-15748.109453848214,-20670.156917288845,-202.81833485513334,160.15771503342822,-251.4585671736231
ns,440837.0340634379,-410882.09053722624,115477.19918006775,214052.5673387635,-481247.7493304156,-162368.88205415313,-36278.39263922266,-17859.51238002121,-33093.26672650751,-31397.007252583047,-38234.496774893,-33796.38601850933,-37539.83804350269,-39390.01158167059,-42785.67133397727,-50038.89247636765,-47015.55659121796,-388.33200953268846,350.9180190539264,-463.12220183814907
sigma8,2345511.0885255476,-868138.6034165994,63038.55748484193,-481247.7493304156,7494249.160291727,1050116.222459729,220599.9484596079,565934.3799155221,474935.9626530194,309917.93297284935,315956.5744477152,244234.9606142639,245187.79952605267,235832.4363392989,237247.71886320962,258545.71846112466,221322.51249982615,-884.8915246787286,2252.8521336855088,-506.8775335816757
w0,-547272.29849879,-4370.943539245924,-31778.64832955514,-162368.88205415313,1050116.222459729,329025.53374972235,68650.96700582108,166159.78131306518,123355.65807011837,82202.68200565981,81948.23151785266,61664.252934925185,60453.2034007131,56703.191757451656,56083.36819479681,60996.224908608194,52258.34972404671,184.20185809947287,161.98649168579144,348.2111128536698
wa,-94890.358634658,4021.137262249125,-7915.345716701432,-36278.39263922266,220599.9484596079,68650.96700582108,15024.749365294478,22086.33117593549,21065.891010449348,15942.880404681946,17126.847357934723,13665.09970886628,13994.343768956865,13634.126172851054,13950.919591380889,15704.885059411874,14038.347907168358,124.94824581229679,66.64459455196256,218.38999164216307
b1,-642614.678302565,-77575.4583794437,8515.448126403344,-17859.51238002121,565934.3799155221,166159.78131306518,22086.33117593549,509936.1092330492,44279.63334365978,753.799921795212,632.1459121223152,-1.353773613920536,53.57135964614426,3.1027283904710408,4.060936028769806,-0.11927744163126486,1.4673694500208574,-7.825749503042506,22.359344226881397,-4.172453863099198
b2,-182748.70791951456,-77735.07955952175,6937.599952207391,-33093.26672650751,474935.9626530194,123355.65807011837,21065.891010449348,44279.63334365978,264110.0670043408,34060.13482917727,289.9309635310866,694.7206726896954,-0.1983280488984942,21.20008733245948,6.542332255923207,0.09995616612814874,0.9381306645574875,-73.63250541238195,170.5815204669703,-55.00815755963566
b3,-75475.6103247811,-46439.22117922593,2405.7511615352396,-31397.007252583047,309917.93297284935,82202.68200565981,15942.880404681946,753.799921795212,34060.13482917727,143479.69131896694,34242.69894269277,-257.80424462407433,535.6642370355905,28.022772594114198,3.0770139026035332,6.227360564064587,-0.0976750095826463,-71.97360783569377,129.73449739166998,-59.67810452855444
