,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5965552.069730172,-1567080.8969628927,363228.3465669769,440286.7990667651,2339134.6138411914,-545546.8063686194,-94521.31971036839,-657086.9398043868,-163589.28917010545,-80603.15583299573,-43721.653097423485,-20083.42808210239,-8251.108348777889,-1341.046517692358,1092.0567046741762,-679.9514693131578,-9798.119172919154,9625.694252989253,4850.722157551087,16647.20290910278
Omegab,-1567080.8969628927,2506578.149095572,-479201.47223408025,-410937.58820747666,-864368.2643275469,-4153.968197845632,4055.633622894433,-80025.57489702913,-72245.59194527016,-49467.45981760426,-37958.88002085791,-24439.767146757098,-13262.317837080343,253.8992330915953,16770.64480446901,30887.98016493799,63526.33725998299,666.8119214109847,-540.9814966638277,822.7278370435882
h,363228.3465669769,-479201.47223408025,105361.91864195155,115426.36401454544,63199.03708037721,-31712.147714767118,-7900.562882711202,8790.058099395334,6590.5072929567195,2657.0221646760046,342.8543918929329,-2061.886313274465,-4631.867557180194,-6779.366722966548,-11200.218091576493,-15484.93918958405,-20637.18347769,-202.4556170506741,159.9223658811703,-250.9707043421973
ns,440286.7990667651,-410937.58820747666,115426.36401454544,214037.75721663155,-481857.31445127435,-162378.31377380484,-36281.03974677819,-18666.36265702038,-30781.991484513528,-33303.991793138965,-35859.11878261053,-36199.82142324029,-39072.45378907881,-36501.0542127791,-45113.40927427363,-48925.03558545587,-46883.47399512063,-388.7172177643401,349.16622317498945,-464.3312717946137
sigma8,2339134.6138411914,-864368.2643275469,63199.03708037721,-481857.31445127435,7488741.446923526,1050478.028465289,220675.44494065366,581599.2719306797,442630.43090374465,330614.34698736266,296875.81677831773,262424.4825857612,254462.31473511446,218090.38797324395,250345.46823092154,252346.4323637366,220646.95708733736,-858.5906350480552,2260.9062996399925,-463.32418264627825
w0,-545546.8063686194,-4153.968197845632,-31712.147714767118,-162378.31377380484,1050478.028465289,328610.2576695515,68549.86089382399,171367.48711305938,113776.50350752653,87528.26248968359,76953.96862718211,66158.87308414633,62597.409961425146,52349.435816221296,59119.26094277088,59481.578576718275,52096.26494403961,177.67486278213457,151.12387040255197,334.1959453629171
wa,-94521.31971036839,4055.633622894433,-7900.562882711202,-36281.03974677819,220675.44494065366,68549.86089382399,14998.620165430806,22885.989001302205,19444.09687790719,16941.95182164423,16062.70715704955,14643.871167908941,14508.195937237297,12586.7731945419,14702.68676340535,15317.149969001044,13991.970079669472,122.12245905482014,63.06294386888955,212.72945880090472
b1,-657086.9398043868,-80025.57489702913,8790.058099395334,-18666.36265702038,581599.2719306797,171367.48711305938,22885.989001302205,525230.7740002619,44702.300210389774,488.27566674284634,667.0693689980122,13.750401906141011,43.681854685973235,5.367113098469656,3.659146874115721,-0.0017905777802835372,1.390929836189182,-8.231449439025749,23.44790806171448,-4.289159717775901
b2,-163589.28917010545,-72245.59194527016,6590.5072929567195,-30781.991484513528,442630.43090374465,113776.50350752653,19444.09687790719,44702.300210389774,238672.94499755657,33518.806885702215,49.82266738342898,722.6538287507717,-20.78936888712842,21.475814647340343,5.933137105359699,0.10507741431731277,0.8898898310691681,-67.67346541190147,158.15452526558283,-50.4072030148322
b3,-80603.15583299573,-49467.45981760426,2657.0221646760046,-33303.991793138965,330614.34698736266,87528.26248968359,16941.95182164423,488.27566674284634,33518.806885702215,157941.0323154547,34259.3608028478,-158.40591729537454,574.5989432793673,15.329109306495923,4.106760909166438,5.374844361810396,0.04224079984961742,-77.29138183104313,139.79961704667454,-64.1261937180165
b4,-43721.653097423485,-37958.88002085791,342.8543918929329,-35859.11878261053,296875.81677831773,76953.96862718211,16062.70715704955,667.0693689980122,49.82266738342898,34259.3608028478,127276.55175778636,30747.80425578532,214.3352349210519,410.6444469830874,53.56912936771793,6.66062828396481,3.9642919216990125,-126.2975529634907,161.53510019434617,-121.1426435360343
b5,-20083.42808210239,-24439.767146757098,-2061.886313274465,-36199.82142324029,262424.4825857612,66158.87308414633,14643.871167908941,13.750401906141011,722.6538287507717,-158.40591729537454,30747.80425578532,103000.36988982753,27817.059391780618,455.05642354596506,355.56255568238055,59.27020035678801,7.747120047408517,-88.166242841735,112.39763585376635,-88.8979595004831
b6,-8251.108348777889,-13262.317837080343,-4631.867557180194,-39072.45378907881,254462.31473511446,62597.409961425146,14508.195937237297,43.681854685973235,-20.78936888712842,574.5989432793673,214.3352349210519,27817.059391780618,96543.99893911838,24552.011374702095,1000.4815633759739,280.39770795857316,50.155789669045774,-47.79549754023101,47.83535660728412,-58.957550266309354
