,ns,wa,Omegam,h,Omegab,w0,sigma8,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
ns,332851.70784802584,-9126.292891279936,580794.1149786343,-449718.8449211756,-1127227.624675187,-36357.908011290434,2823.988243665315,61940.0212490008,42485.17334579953,11204.152857243258,-36750.85087829342,27.69747772241129,24.334623028922067,17.756968838345216,12.905425394176039
wa,-9126.292891279936,4733.615308760065,79956.90079592547,-172797.21485402394,6821.654802053899,18109.07953248122,13501.846357199352,29899.128231880786,33242.34690383772,30790.513097383435,31898.085481981434,2.359487500113451,2.617425372487788,2.3412812475777827,2.2411284197154533
Omegam,580794.1149786343,79956.90079592547,3294802.9364506504,-5776555.943831227,-2464596.277749616,318776.2153872758,437873.3775995653,894525.0982338106,895161.288526342,756094.8168246706,678226.6739485844,127.40119806772223,119.7370103529499,95.62648293712601,81.88877358542207
h,-449718.8449211756,-172797.21485402394,-5776555.943831227,18328015.49091456,1836859.1438012319,-890115.5672193867,-2079006.8086286252,-2422983.6489950097,-2328153.0001109885,-1929107.4846821527,-1771672.9053213275,-316.6249940768924,-282.6100420649768,-215.24163560592837,-176.1790351547464
Omegab,-1127227.624675187,6821.654802053899,-2464596.277749616,1836859.1438012319,5413781.892429083,11772.043624981248,-128639.17433425089,-337330.9363348839,-271933.0937254119,-149732.44472548657,18428.901931981847,-99.9675102671853,-88.39800585166846,-65.43609190406431,-49.101280635548946
w0,-36357.908011290434,18109.07953248122,318776.2153872758,-890115.5672193867,11772.043624981248,76946.21922983474,94297.82280852854,144862.44416513835,147976.05028326868,129301.89343481972,127615.57098121414,12.546397335400348,12.51757587345303,10.375858058852842,9.312145292722187
sigma8,2823.988243665315,13501.846357199352,437873.3775995653,-2079006.8086286252,-128639.17433425089,94297.82280852854,310987.85781953466,242676.563207517,230270.6296032875,190353.1404260652,178672.11246263405,29.824029345356518,26.115294813480713,19.623698071631214,16.088312927958565
lnbgs8_1,61940.0212490008,29899.128231880786,894525.0982338106,-2422983.6489950097,-337330.9363348839,144862.44416513835,242676.563207517,1272039.6822045785,0.0,0.0,0.0,143.36194919749985,0.0,0.0,0.0
lnbgs8_2,42485.17334579953,33242.34690383772,895161.288526342,-2328153.0001109885,-271933.0937254119,147976.05028326868,230270.6296032875,0.0,1256933.1398574836,0.0,0.0,0.0,132.82878185476488,0.0,0.0
lnbgs8_3,11204.152857243258,30790.513097383435,756094.8168246706,-1929107.4846821527,-149732.44472548657,129301.89343481972,190353.1404260652,0.0,0.0,1073434.5520752724,0.0,0.0,0.0,105.22504217040755,0.0
lnbgs8_4,-36750.85087829342,31898.085481981434,678226.6739485844,-1771672.9053213275,18428.901931981847,127615.57098121414,178672.11246263405,0.0,0.0,0.0,1025149.2784209326,0.0,0.0,0.0,90.44374037050159
Ps_1,27.69747772241129,2.359487500113451,127.40119806772223,-316.6249940768924,-99.9675102671853,12.546397335400348,29.824029345356518,143.36194919749985,0.0,0.0,0.0,0.024010695918818326,0.0,0.0,0.0
Ps_2,24.334623028922067,2.617425372487788,119.7370103529499,-282.6100420649768,-88.39800585166846,12.51757587345303,26.115294813480713,0.0,132.82878185476488,0.0,0.0,0.0,0.02097924453268574,0.0,0.0
Ps_3,17.756968838345216,2.3412812475777827,95.62648293712601,-215.24163560592837,-65.43609190406431,10.375858058852842,19.623698071631214,0.0,0.0,105.22504217040755,0.0,0.0,0.0,0.015646175388255898,0.0
Ps_4,12.905425394176039,2.2411284197154533,81.88877358542207,-176.1790351547464,-49.101280635548946,9.312145292722187,16.088312927958565,0.0,0.0,0.0,90.44374037050159,0.0,0.0,0.0,0.01257663474064742
