,ns,Omegab,w0,sigma8,Omegam,wa,h,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
ns,332762.9799848222,-1128200.4422149025,-36183.97274817964,3489.2028726324897,581559.1610858229,-9162.159688630789,-453604.76390854444,62463.86502429802,42869.51483926477,11639.992206985844,-36451.96070414643,27.764441232032798,24.374021968958377,17.793735633836576,12.92931515241438
Omegab,-1128200.4422149025,5407415.474341934,16737.09816593494,-113697.69739559756,-2445051.683527742,7567.576938071379,1739472.307882123,-325976.7905716408,-260847.548129479,-140845.07226497366,27592.658117201645,-98.6909472864733,-87.18504059756086,-64.68324467584907,-48.24819114590311
w0,-36183.97274817964,16737.09816593494,76783.64757094102,93997.27262631097,318331.21692496375,18218.090656544395,-888200.4485710328,144769.154510109,147688.33090419322,129169.1275442738,127414.69331942372,12.528869086600885,12.482177568501381,10.374165746096596,9.283812171050144
sigma8,3489.2028726324897,-113697.69739559756,93997.27262631097,310573.32365722,437448.83529800025,13871.351720905712,-2076702.104565527,242465.6712277651,230098.719417851,190280.73355937444,178530.63214049296,29.81034651488805,26.104533292011688,19.618763510591393,16.08071947557691
Omegam,581559.1610858229,-2445051.683527742,318331.21692496375,437448.83529800025,3294019.7775353948,80389.48800536187,-5773088.802886442,894070.1237830773,894836.4347648632,756106.5183546643,678054.336008692,127.35529229258057,119.70194555346403,95.62184238472831,81.90057149865665
wa,-9162.159688630789,7567.576938071379,18218.090656544395,13871.351720905712,80389.48800536187,4770.565609642773,-175063.43248606217,30269.455609154837,33462.8921873292,31012.833586794914,32073.493994327604,2.386855188128402,2.6312037872518284,2.3600941321414477,2.25796770343402
h,-453604.76390854444,1739472.307882123,-888200.4485710328,-2076702.104565527,-5773088.802886442,-175063.43248606217,18312345.815172642,-2421750.0027840473,-2327407.444294566,-1928165.3050912702,-1770883.490686247,-316.508142979797,-282.5567635455824,-215.17166407100632,-176.12450851047245
lnbgs8_1,62463.86502429802,-325976.7905716408,144769.154510109,242465.6712277651,894070.1237830773,30269.455609154837,-2421750.0027840473,1271883.197857423,0.0,0.0,0.0,143.3605482967771,0.0,0.0,0.0
lnbgs8_2,42869.51483926477,-260847.548129479,147688.33090419322,230098.719417851,894836.4347648632,33462.8921873292,-2327407.444294566,0.0,1256767.9244682174,0.0,0.0,0.0,132.82610426795037,0.0,0.0
lnbgs8_3,11639.992206985844,-140845.07226497366,129169.1275442738,190280.73355937444,756106.5183546643,31012.833586794914,-1928165.3050912702,0.0,0.0,1073281.133413444,0.0,0.0,0.0,105.22158250586436,0.0
lnbgs8_4,-36451.96070414643,27592.658117201645,127414.69331942372,178530.63214049296,678054.336008692,32073.493994327604,-1770883.490686247,0.0,0.0,0.0,1024979.9050273793,0.0,0.0,0.0,90.4385511676464
Ps_1,27.764441232032798,-98.6909472864733,12.528869086600885,29.81034651488805,127.35529229258057,2.386855188128402,-316.508142979797,143.3605482967771,0.0,0.0,0.0,0.024013287851725452,0.0,0.0,0.0
Ps_2,24.374021968958377,-87.18504059756086,12.482177568501381,26.104533292011688,119.70194555346403,2.6312037872518284,-282.5567635455824,0.0,132.82610426795037,0.0,0.0,0.0,0.02098127900211496,0.0,0.0
Ps_3,17.793735633836576,-64.68324467584907,10.374165746096596,19.618763510591393,95.62184238472831,2.3600941321414477,-215.17166407100632,0.0,0.0,105.22158250586436,0.0,0.0,0.0,0.015647502556313003,0.0
Ps_4,12.92931515241438,-48.24819114590311,9.283812171050144,16.08071947557691,81.90057149865665,2.25796770343402,-176.12450851047245,0.0,0.0,0.0,90.4385511676464,0.0,0.0,0.0,0.012577420555857772
