,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20331047.586424172,-12966684.200857375,3268582.5092929723,4293533.183071172,23952282.754962016,2075044.4889604107,509424.03165278287,-868710.0681991352,379381.21784371464,546308.0126515164,734866.7078645801,677353.6454338115,745385.639319094,750661.4370453809,740275.2462361405,729238.7052395121,446996.0309650465,17636.02189846053,9978.315913670522,30916.099891760656
Omegab,-12966684.200857375,20445999.844325755,-4956523.142453885,-6021973.5112719005,-36411226.66542052,-6352545.956135247,-1320178.6701349677,-2479672.82941432,-2227568.3194665276,-1527366.9457036292,-1634174.9090133314,-1299871.6526311026,-1311030.7601309314,-1234895.6191746448,-1153386.7322342189,-1076311.8055824896,-608580.4783973058,323.2636865730818,-1896.9069130680964,-223.5817057372017
h,3268582.5092929723,-4956523.142453885,1240956.4279960801,1625517.812614861,8908537.18812863,1518598.6764618082,310968.84599240473,728594.8111641195,575948.3234043185,370593.1024558937,382094.6448122509,296339.06890303886,294817.78952021466,275464.25456564897,255932.38884692383,238001.34264955024,132673.55919827727,-214.17102393536717,574.2279328426059,-111.06913132058062
ns,4293533.183071172,-6021973.5112719005,1625517.812614861,2683538.7343950807,10655674.252398996,1636286.05540977,304334.67274689104,1491559.1776145278,930970.9051789045,489788.7924674657,420792.1185359532,270816.6121426508,225179.39922935766,173732.32634992467,130618.84248604334,91799.04504609187,25985.672207777505,-885.9814095353621,1195.9339442667167,-907.5450114582475
sigma8,23952282.754962016,-36411226.66542052,8908537.18812863,10655674.252398996,80926450.48841205,14145515.889090767,2895988.4311934086,5939777.381582615,5573782.509467484,3781587.0224368437,3928027.6542839166,3002858.1679138513,2904681.0213864,2615881.461796066,2343761.6285952143,2120846.1718842015,1251329.7893181515,332.39202845978457,3333.580110912296,1786.8077580818656
w0,2075044.4889604107,-6352545.956135247,1518598.6764618082,1636286.05540977,14145515.889090767,2958371.0630939887,610887.5977905521,1151160.8481509043,1074721.4135524821,739401.831823255,780034.7816918337,603835.7378864578,591501.4753601911,539171.9839903875,488833.6354832915,448035.5744338651,269052.67111500824,1390.5468812672038,-484.10617666094134,1963.4391210793465
wa,509424.03165278287,-1320178.6701349677,310968.84599240473,304334.67274689104,2895988.4311934086,610887.5977905521,130424.6433365014,158853.93397349116,182874.87276987184,139652.42224573984,157524.55818799985,128913.61640971448,132130.4966726271,125645.0637096041,118640.30246173052,113577.47997307433,71888.4208311142,510.6324760006414,-51.194321149752334,768.0185418418043
b1,-868710.0681991352,-2479672.82941432,728594.8111641195,1491559.1776145278,5939777.381582615,1151160.8481509043,158853.93397349116,3567697.7013124446,370510.25989073043,4923.071463169416,3050.2395282392026,417.6849013993711,160.7811101749195,75.05621233365984,31.313007290309436,3.430079866875604,5.066690446499869,86.47002615112233,-240.88828522290086,50.03597898407892
b2,379381.21784371464,-2227568.3194665276,575948.3234043185,930970.9051789045,5573782.509467484,1074721.4135524821,182874.87276987184,370510.25989073043,2132109.1217650007,351393.1537867694,13011.85155544504,2509.9290025532964,448.304783470928,41.97437716945167,13.743133029127279,2.182700908105033,1.880125563327841,-33.44966720995241,31.929796934875856,-34.126331222086
b3,546308.0126515164,-1527366.9457036292,370593.1024558937,489788.7924674657,3781587.0224368437,739401.831823255,139652.42224573984,4923.071463169416,351393.1537867694,1051671.248277992,341947.7808069477,6165.370255457419,1934.8827261365414,322.7072246198461,24.65208234320674,6.976133223561411,0.6030197118485245,18.85949325866442,-1.7551577333272022,18.64634500172591
b4,734866.7078645801,-1634174.9090133314,382094.6448122509,420792.1185359532,3928027.6542839166,780034.7816918337,157524.55818799985,3050.2395282392026,13011.85155544504,341947.7808069477,1054051.1288307034,299768.18212793104,13960.947018821304,2214.6818805016746,260.035065510681,22.324426334372436,5.74681492762384,1.677418381796965,-8.796881353427107,0.5402309287437639
b5,677353.6454338115,-1299871.6526311026,296339.06890303886,270816.6121426508,3002858.1679138513,603835.7378864578,128913.61640971448,417.6849013993711,2509.9290025532964,6165.370255457419,299768.18212793104,683422.7586790266,264069.34457444394,9719.069070011421,1526.9901812028666,144.882645133885,10.376612001562204,-9.512935588608325,12.00722330501505,-4.673303654934841
b6,745385.639319094,-1311030.7601309314,294817.78952021466,225179.39922935766,2904681.0213864,591501.4753601911,132130.4966726271,160.7811101749195,448.304783470928,1934.8827261365414,13960.947018821304,264069.34457444394,667905.0438230694,234557.42021652736,8452.676656770607,1047.0592024807736,68.21577163481088,32.735520338476974,-46.2164466648088,34.98053254202736
b7,750661.4370453809,-1234895.6191746448,275464.25456564897,173732.32634992467,2615881.461796066,539171.9839903875,125645.0637096041,75.05621233365984,41.97437716945167,322.7072246198461,2214.6818805016746,9719.069070011421,234557.42021652736,599519.3256753935,199375.44573825368,6353.45708633268,433.0246100289382,39.56075792534338,-53.06796628347651,46.64804368907211
b8,740275.2462361405,-1153386.7322342189,255932.38884692383,130618.84248604334,2343761.6285952143,488833.6354832915,118640.30246173052,31.313007290309436,13.743133029127279,24.65208234320674,260.035065510681,1526.9901812028666,8452.676656770607,199375.44573825368,569146.5902712562,150053.30710244118,2408.5545958896396,55.210003855661256,-7.312867005969249,84.75773572204888
b9,729238.7052395121,-1076311.8055824896,238001.34264955024,91799.04504609187,2120846.1718842015,448035.5744338651,113577.47997307433,3.430079866875604,2.182700908105033,6.976133223561411,22.324426334372436,144.882645133885,1047.0592024807736,6353.45708633268,150053.30710244118,602617.7754238872,76329.12621136363,-46.52580743845475,-29.142053362584694,-94.19894545463966
