,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20278148.95645451,-12957277.654159432,3267468.9700466827,4287221.171267801,23928425.356912002,2082978.017524717,510094.23862933175,-888563.8498849486,371943.06839357933,584220.9902755944,689007.0742180956,726175.5814735044,774981.0959176379,694358.8757080637,783697.4719576188,707722.9913063579,444799.68746623583,17724.31811478019,10022.787110575702,31066.878481717955
Omegab,-12957277.654159432,20444689.96158516,-4956277.987864912,-6019778.015236222,-36402742.96820419,-6357205.608396363,-1319957.0198551998,-2550690.214158223,-2062824.665470397,-1634400.040264023,-1535372.214339518,-1396930.7680498406,-1359705.522035218,-1141947.8621420392,-1222410.6039886407,-1045046.1910077439,-606428.5837460387,277.59277883120683,-1908.3327752661894,-298.04375412878665
h,3267468.9700466827,-4956277.987864912,1240941.34053044,1625558.6271750622,8908184.537050562,1519607.4035229578,310832.9686683793,748396.8839317623,533973.1011938957,397766.10430848075,359329.6031504942,318902.9844428449,305710.5407506999,254450.78675332852,270873.3048696559,230513.59882659945,131976.32939656894,-207.33949738773168,582.86419424125,-97.29298206958178
ns,4287221.171267801,-6019778.015236222,1625558.6271750622,2682812.202002782,10652156.348315462,1637783.6082128512,304243.2014553406,1528177.6155925011,862087.1151694552,529144.5016509879,397182.1250193978,292588.98410440853,232118.42027715204,160113.20900768385,138443.70505868163,88159.84138082723,25762.817171939583,-874.4747899122328,1192.720687328846,-891.0210832056412
sigma8,23928425.356912002,-36402742.96820419,8908184.537050562,10652156.348315462,80899432.83999914,14153299.128808694,2894724.0167857674,6113560.068638445,5175747.610738638,4051162.4723248202,3692170.498500269,3228662.443406572,3007564.1050562914,2416035.9658837193,2479228.7440381506,2056322.596126228,1245941.3597038914,413.00149029356294,3358.8557449448776,1920.0698873753201
w0,2082978.017524717,-6357205.608396363,1519607.4035229578,1637783.6082128512,14153299.128808694,2959853.6923062825,610656.7077906561,1188743.5701152596,995149.9730743058,791200.960214502,732960.4168783716,649171.4637095125,612900.000825535,498204.86906651093,517183.1903924212,434660.8417115874,268050.4232307505,1383.6277326943687,-497.0422422447976,1948.066144483607
wa,510094.23862933175,-1319957.0198551998,310832.9686683793,304243.2014553406,2894724.0167857674,610656.7077906561,130257.11595187087,164527.02868230426,169258.70054544997,148968.93043280608,147758.599676752,138298.9404057335,136909.8307204523,116047.82407023784,125426.33896203205,110146.5779418012,71568.28900037211,506.7032407615495,-55.97889183856491,760.2181611987821
b1,-888563.8498849486,-2550690.214158223,748396.8839317623,1528177.6155925011,6113560.068638445,1188743.5701152596,164527.02868230426,3680353.9025255577,368649.08871961624,7458.311721313472,3084.1113795330216,549.159137969704,154.2768442204313,68.73763706118766,32.06130655363986,2.96635322074672,5.15793746028911,88.93571211697288,-253.1238419216986,50.58927946248729
b2,371943.06839357933,-2062824.665470397,533973.1011938957,862087.1151694552,5175747.610738638,995149.9730743058,169258.70054544997,368649.08871961624,1920257.753898634,356438.6024884542,9274.090528217885,2415.176442402876,390.70417732453194,29.657143783937318,12.76719246824022,1.753145347096783,1.8285786502568262,-31.6823992724487,32.75918901883089,-31.850690763664982
b3,584220.9902755944,-1634400.040264023,397766.10430848075,529144.5016509879,4051162.4723248202,791200.960214502,148968.93043280608,7458.311721313472,356438.6024884542,1166688.0901416403,342251.23057853384,8771.429788375535,2044.5014933203274,296.2923654056554,29.5724667080966,6.260683527049596,0.8422785986415363,16.804234489941514,3.1033099166524494,16.772900859787196
