,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5964665.143729267,-1568070.6093356651,363075.77005336044,440261.78819555504,2338125.791488626,-545974.056086563,-94489.40532482503,-657124.7175586954,-163622.21787955868,-80642.72465031728,-43762.192696622384,-20100.60418989096,-8265.932287687823,-1349.5059071460946,1086.4196763772798,-686.28865986865,-9800.56620534346,9626.646992112128,4850.463022791254,16648.567676895538
Omegab,-1568070.6093356651,2510503.7725574537,-479668.44933768536,-410698.48235673364,-866506.4783736794,-4455.303436257434,3964.1524070851838,-80194.00340457566,-72501.4082780539,-49609.81651903496,-37911.7089888157,-24378.98444288282,-13263.718507690512,190.8167201909746,16686.196061530438,30771.73641540388,63493.196496584635,667.420526330933,-542.4262970040926,823.1081118343111
h,363075.77005336044,-479668.44933768536,105484.16991325581,115505.31149858318,62312.47846488922,-31819.167850516384,-7915.4346690630555,8695.726939537311,6503.687205672798,2612.165672131184,297.6726295270298,-2105.5400968663803,-4658.360097755474,-6793.99558124024,-11210.178805140407,-15488.640429034627,-20632.463937079207,-202.3849919007721,159.65244506774343,-250.9640459436635
ns,440261.78819555504,-410698.48235673364,115505.31149858318,214044.8104099003,-482011.63271506433,-162350.4375896347,-36280.52502102221,-18684.69128539929,-30780.225600415644,-33309.031580553485,-35865.65315030966,-36199.52690086558,-39073.972757169206,-36503.724434813084,-45118.24085169726,-48930.19323918544,-46887.91157052546,-388.64547334975475,349.042457369221,-464.2681608506973
sigma8,2338125.791488626,-866506.4783736794,62312.47846488922,-482011.63271506433,7488332.007061126,1049472.4038754334,220730.00090927727,581588.5353390195,442632.8080957447,330614.5296062811,296871.3060630384,262419.23024527903,254460.79310534085,218088.78679530643,250344.3492732569,252343.03904196693,220645.85393226167,-858.393643115206,2260.7136072750513,-463.09441549994244
w0,-545974.056086563,-4455.303436257434,-31819.167850516384,-162350.4375896347,1049472.4038754334,328378.00773834536,68529.91799305969,171264.5217335969,113714.50072001899,87484.8581462573,76918.10201801725,66128.06615704975,62568.0044000758,52323.75995898113,59094.67184443932,59461.29276328943,52078.1692140557,177.99804555636968,150.84327040426587,334.5859111823626
wa,-94489.40532482503,3964.1524070851838,-7915.4346690630555,-36280.52502102221,220730.00090927727,68529.91799305969,14999.954608716615,22901.478251571665,19441.859869533797,16939.982847862295,16059.452780228847,14640.606123951982,14506.518627574298,12586.074148144142,14704.905559341192,15320.905584219092,13996.077390148537,122.09261403893997,63.137633922208266,212.71283253157168
b1,-657124.7175586954,-80194.00340457566,8695.726939537311,-18684.69128539929,581588.5353390195,171264.5217335969,22901.478251571665,525215.002922841,44701.86709276525,488.3098343847939,667.0542821214235,13.751760121476995,43.682429306326476,5.366878450565729,3.6593201107749707,-0.0018169347442394124,1.3910768563373448,-8.233113502309148,23.452182760583256,-4.290212344173912
b2,-163622.21787955868,-72501.4082780539,6503.687205672798,-30780.225600415644,442632.8080957447,113714.50072001899,19441.859869533797,44701.86709276525,238673.77929475912,33518.98043932593,49.81910026503434,722.6547641269763,-20.792556308653893,21.47712692608266,5.933028087428935,0.10514818250964246,0.8899225033250189,-67.67290859434824,158.15288581452248,-50.40688179585251
b3,-80642.72465031728,-49609.81651903496,2612.165672131184,-33309.031580553485,330614.5296062811,87484.8581462573,16939.982847862295,488.3098343847939,33518.98043932593,157942.10546651998,34259.51421888068,-158.43045645880972,574.6118261279205,15.32626235477137,4.107763631510484,5.375059684542216,0.042279121909472334,-77.29011650221621,139.79771475189102,-64.12508594588986
b4,-43762.192696622384,-37911.7089888157,297.6726295270298,-35865.65315030966,296871.3060630384,76918.10201801725,16059.452780228847,667.0542821214235,49.81910026503434,34259.51421888068,127277.77810554473,30747.92221349066,214.32426060133304,410.6528805481003,53.56906004611227,6.660957986719977,3.9644182613465553,-126.2960748857521,161.53297123203646,-121.14128281246252
b5,-20100.60418989096,-24378.98444288282,-2105.5400968663803,-36199.52690086558,262419.23024527903,66128.06615704975,14640.606123951982,13.751760121476995,722.6547641269763,-158.43045645880972,30747.92221349066,103000.91505132981,27817.196260532703,455.05640178419526,355.56813048257527,59.271786008119655,7.747386104843801,-88.16318752019686,112.39380632440263,-88.89477439977281
b6,-8265.932287687823,-13263.718507690512,-4658.360097755474,-39073.972757169206,254460.79310534085,62568.0044000758,14506.518627574298,43.682429306326476,-20.792556308653893,574.6118261279205,214.32426060133304,27817.196260532703,96545.15988073565,24552.05155478014,1000.4975116041885,280.401679724118,50.156688066258916,-47.79284413916203,47.83242966887204,-58.954450371739306
b7,-1349.5059071460946,190.8167201909746,-6793.99558124024,-36503.724434813084,218088.78679530643,52323.75995898113,12586.074148144142,5.366878450565729,21.47712692608266,15.32626235477137,410.6528805481003,455.05640178419526,24552.05155478014,76724.8193293304,20525.735738812553,716.862135979277,117.90363786014582,-35.044485811632875,20.85609336865773,-47.46834721626395
b8,1086.4196763772798,16686.196061530438,-11210.178805140407,-45118.24085169726,250344.3492732569,59094.67184443932,14704.905559341192,3.6593201107749707,5.933028087428935,4.107763631510484,53.56906004611227,355.56813048257527,1000.4975116041885,20525.735738812553,95435.91286449849,16997.27749780315,631.1525945454432,-37.61792033019646,28.583420329244802,-45.821168768554074
b9,-686.28865986865,30771.73641540388,-15488.640429034627,-48930.19323918544,252343.03904196693,59461.29276328943,15320.905584219092,-0.0018169347442394124,0.10514818250964246,5.375059684542216,6.660957986719977,59.271786008119655,280.401679724118,716.862135979277,16997.27749780315,98841.54142692879,11623.938594523677,-152.86678103063642,-50.107641893527024,-260.88268343147985
b10,-9800.56620534346,63493.196496584635,-20632.463937079207,-46887.91157052546,220645.85393226167,52078.1692140557,13996.077390148537,1.3910768563373448,0.8899225033250189,0.042279121909472334,3.9644182613465553,7.747386104843801,50.156688066258916,117.90363786014582,631.1525945454432,11623.938594523677,90081.52561729818,-370.3428129065633,-223.2673258297966,-652.3181327276757
AIA,9626.646992112128,667.420526330933,-202.3849919007721,-388.64547334975475,-858.393643115206,177.99804555636968,122.09261403893997,-8.233113502309148,-67.67290859434824,-77.29011650221621,-126.2960748857521,-88.16318752019686,-47.79284413916203,-35.044485811632875,-37.61792033019646,-152.86678103063642,-370.3428129065633,1875.1280056962094,444.10644225614936,3053.1632773542296
betaIA,4850.463022791254,-542.4262970040926,159.65244506774343,349.042457369221,2260.7136072750513,150.84327040426587,63.137633922208266,23.452182760583256,158.15288581452248,139.79771475189102,161.53297123203646,112.39380632440263,47.83242966887204,20.85609336865773,28.583420329244802,-50.107641893527024,-223.2673258297966,444.10644225614936,735.7195131026376,956.8578870584888
etaIA,16648.567676895538,823.1081118343111,-250.9640459436635,-464.2681608506973,-463.09441549994244,334.5859111823626,212.71283253157168,-4.290212344173912,-50.40688179585251,-64.12508594588986,-121.14128281246252,-88.89477439977281,-58.954450371739306,-47.46834721626395,-45.821168768554074,-260.88268343147985,-652.3181327276757,3053.1632773542296,956.8578870584888,5059.154154890277
