,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5964891.3895839555,-1567229.9656892854,362870.6641011232,440259.65342326055,2338948.7449642983,-545541.3440754318,-94474.18239838311,-657097.1201268563,-163556.66183995228,-80588.72296993452,-43715.71102308721,-20072.41607922696,-8235.081999833154,-1322.1054472570568,1114.8628997104179,-656.508320777466,-9773.874563453213,9623.933484749778,4850.094066773456,16644.25388283948
Omegab,-1567229.9656892854,2504873.1591947493,-479346.2223150209,-410881.9622074499,-865386.95484581,-4273.500864739497,4029.47433351379,-80095.49130519194,-72515.17496108705,-49629.03593117901,-37943.13590891015,-24355.400119470134,-13236.182983010225,229.3362834490581,16715.118883108236,30872.53951131818,63544.63136296696,666.4180868064221,-541.4838801119282,821.9306844931912
h,362870.6641011232,-479346.2223150209,105377.59034013785,115433.59463623214,62477.2334901808,-31769.11416792295,-7908.49541780537,8736.445631017352,6524.740649910211,2614.9538532408624,300.9417010313398,-2098.1318439424876,-4655.30700115365,-6793.553383216324,-11204.964886038408,-15481.820585216565,-20622.708581862273,-202.19420177863944,159.72126184612733,-250.64368622300373
ns,440259.65342326055,-410881.9622074499,115433.59463623214,213993.32203362792,-481580.0350475898,-162331.83962057528,-36266.24415267882,-18645.02158583628,-30754.97159309831,-33287.438677906495,-35844.50202981904,-36183.03866541436,-39057.30345870532,-36491.03335647042,-45104.663986735504,-48917.596419301335,-46878.017690016095,-388.66005618734954,349.1262476691624,-464.25897709165764
sigma8,2338948.7449642983,-865386.95484581,62477.2334901808,-481580.0350475898,7488109.396210758,1050316.4648868586,220689.75113550687,581569.2573786528,442623.86289713526,330611.2129254679,296869.0280475673,262416.449093955,254456.9085251411,218083.82156957526,250334.59591719764,252333.11828871685,220634.46623103545,-858.4041788483665,2260.5868715052115,-463.1596779550754
w0,-545541.3440754318,-4273.500864739497,-31769.11416792295,-162331.83962057528,1050316.4648868586,328594.02034008456,68546.48002499893,171353.85050464433,113759.45993678214,87514.30414126473,76944.99206762077,66154.32009193987,62593.75496757988,52345.81377392938,59120.29781801091,59483.859561655496,52100.36631585581,177.82967512404687,151.10541529488754,334.42639309976585
wa,-94474.18239838311,4029.47433351379,-7908.49541780537,-36266.24415267882,220689.75113550687,68546.48002499893,14997.524064448193,22898.261943387468,19440.842515421034,16937.356306725123,16058.394150940641,14638.915599827931,14504.298753676896,12584.89643726821,14703.345516503556,15319.324010036,13994.911761095485,122.07549312358142,63.106537928928326,212.67447346904618
b1,-657097.1201268563,-80095.49130519194,8736.445631017352,-18645.02158583628,581569.2573786528,171353.85050464433,22898.261943387468,525231.2148414209,44701.7850217765,488.2090344736799,667.0916329399938,13.73420878647372,43.68321270087892,5.366073060042952,3.6582606336542893,-0.001623067471529547,1.3907099993620218,-8.226767851032475,23.434894013749723,-4.28647164584688
b2,-163556.66183995228,-72515.17496108705,6524.740649910211,-30754.97159309831,442623.86289713526,113759.45993678214,19440.842515421034,44701.7850217765,238667.2858286729,33518.24051629234,49.83942099045146,722.6366643755408,-20.786494502805233,21.471608003886043,5.933394249964207,0.10467350693302495,0.8897451571170507,-67.66484641136836,158.13307076728677,-50.40094975454022
b3,-80588.72296993452,-49629.03593117901,2614.9538532408624,-33287.438677906495,330611.2129254679,87514.30414126473,16937.356306725123,488.2090344736799,33518.24051629234,157936.48414362854,34258.51856980473,-158.30112918155135,574.5414011681872,15.342840273212811,4.1005632525474445,5.3740706566000345,0.042231529132279136,-77.27489485629985,139.77066857438365,-64.1125289862086
