,Omegam,sigma8,w0,wa,ns,Omegab,h,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3294562.1710877027,437597.26662805217,318321.15746449487,80452.7199845283,581557.8625939577,-2444373.383479234,-5760942.551435045,894394.4699028052,895319.7768940132,756142.9907623979,678193.3337268356,127.35811451490991,119.70078199328758,95.62491761417775,81.88153727511919
sigma8,437597.26662805217,310593.57950905885,93936.53725595481,13879.12701734082,3487.3462713224035,-112957.55137586483,-2075660.047808752,242478.45862066402,230121.01523403596,190247.97764968826,178645.92995050555,29.80646045661484,26.097536453552777,19.61912551131911,16.091163423382017
w0,318321.15746449487,93936.53725595481,76777.32068186878,18219.156190227844,-36198.553635192926,16758.78990178078,-887929.3108654935,144652.78977794346,147713.35305248486,129147.59297275095,127443.97220213014,12.518447310575862,12.47855530503307,10.364601985975723,9.285792298080803
wa,80452.7199845283,13879.12701734082,18219.156190227844,4768.968272001241,-9144.022924865,7477.388677036342,-175239.00395656005,30282.08600528429,33511.009123800424,30993.570454739805,32073.52134824548,2.393711332317864,2.639745498950424,2.358484595902029,2.2542894935940936
ns,581557.8625939577,3487.3462713224035,-36198.553635192926,-9144.022924865,332816.13638081437,-1128446.4062220324,-447738.3667926675,62466.83556210334,42925.6014449037,11612.07139536312,-36401.22811275741,27.756598021794126,24.374948196717828,17.801505836632586,12.9344898701816
Omegab,-2444373.383479234,-112957.55137586483,16758.78990178078,7477.388677036342,-1128446.4062220324,5412126.329773734,1711242.3810037547,-326015.679475249,-260108.47747684008,-139473.19928258302,27159.458009908674,-98.65250867285539,-87.15707563134964,-64.46928821572806,-48.3580579240167
h,-5760942.551435045,-2075660.047808752,-887929.3108654935,-175239.00395656005,-447738.3667926675,1711242.3810037547,18281456.044025496,-2419771.6523453174,-2325691.2599922195,-1927462.0146778957,-1771013.6202268803,-315.8945724730135,-282.0168696388838,-214.8035283734381,-175.85302619588637
lnbgs8_1,894394.4699028052,242478.45862066402,144652.78977794346,30282.08600528429,62466.83556210334,-326015.679475249,-2419771.6523453174,1272114.5914489054,0.0,0.0,0.0,143.36282287356522,0.0,0.0,0.0
lnbgs8_2,895319.7768940132,230121.01523403596,147713.35305248486,33511.009123800424,42925.6014449037,-260108.47747684008,-2325691.2599922195,0.0,1257015.0877078287,0.0,0.0,0.0,132.83055346148817,0.0,0.0
lnbgs8_3,756142.9907623979,190247.97764968826,129147.59297275095,30993.570454739805,11612.07139536312,-139473.19928258302,-1927462.0146778957,0.0,0.0,1073513.4123897976,0.0,0.0,0.0,105.22763129306047,0.0
lnbgs8_4,678193.3337268356,178645.92995050555,127443.97220213014,32073.52134824548,-36401.22811275741,27159.458009908674,-1771013.6202268803,0.0,0.0,0.0,1025242.1669272527,0.0,0.0,0.0,90.44779574516537
Ps_1,127.35811451490991,29.80646045661484,12.518447310575862,2.393711332317864,27.756598021794126,-98.65250867285539,-315.8945724730135,143.36282287356522,0.0,0.0,0.0,0.024009509298801992,0.0,0.0,0.0
Ps_2,119.70078199328758,26.097536453552777,12.47855530503307,2.639745498950424,24.374948196717828,-87.15707563134964,-282.0168696388838,0.0,132.83055346148817,0.0,0.0,0.0,0.020978329835217316,0.0,0.0
Ps_3,95.62491761417775,19.61912551131911,10.364601985975723,2.358484595902029,17.801505836632586,-64.46928821572806,-214.8035283734381,0.0,0.0,105.22763129306047,0.0,0.0,0.0,0.01564569557158822,0.0
Ps_4,81.88153727511919,16.091163423382017,9.285792298080803,2.2542894935940936,12.9344898701816,-48.3580579240167,-175.85302619588637,0.0,0.0,0.0,90.44779574516537,0.0,0.0,0.0,0.012576495962240634
