,wa,sigma8,Omegab,ns,Omegam,w0,h,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
wa,4769.648021078986,13888.701513983066,7603.601299972932,-9145.24607806197,80475.43228936825,18224.219991258844,-175297.42582251856,30293.75496048815,33515.62464573416,31002.574148440406,32080.025150951053,2.39557035594224,2.6404605050506325,2.3594192330607027,2.2550660304260157
sigma8,13888.701513983066,310571.932495141,-112778.0435158663,3477.956937921639,437724.31196910737,93980.10279004113,-2075306.6635318336,242466.88629425073,230113.07216485342,190238.44484000816,178634.4569228771,29.80651807374694,26.098034317258954,19.619271180758947,16.091371783956763
Omegab,7603.601299972932,-112778.0435158663,5397954.319868894,-1128665.612864473,-2442758.563225806,17281.369168915044,1715213.048038947,-325847.63626618794,-259909.9351047264,-139384.16233302688,27241.182162905578,-98.6471884776536,-87.15241505945949,-64.46922610658461,-48.36219129528933
ns,-9145.24607806197,3477.956937921639,-1128665.612864473,332794.4198320911,581259.347020705,-36202.90314624338,-447897.62745786505,62436.79424919546,42899.4363653824,11594.661693881499,-36408.6173912847,27.75197515890151,24.370824098914248,17.79841297732755,12.932033890124467
Omegam,80475.43228936825,437724.31196910737,-2442758.563225806,581259.347020705,3293854.6608220637,318459.9813445992,-5761378.021823928,894440.352157454,895340.471203263,756174.6190598289,678243.2456681144,127.35458304685162,119.69544607846998,95.6213816185108,81.87767521701416
w0,18224.219991258844,93980.10279004113,17281.369168915044,-36202.90314624338,318459.9813445992,76807.29621344447,-888186.8768560513,144701.62466481928,147756.2043789379,129185.55527066212,127475.0219886436,12.52497988751292,12.484838465689563,10.369234440666938,9.289677342793366
h,-175297.42582251856,-2075306.6635318336,1715213.048038947,-447897.62745786505,-5761378.021823928,-888186.8768560513,18277210.687334035,-2419462.671474765,-2325379.266907149,-1927167.503373403,-1770672.6324546314,-315.90821633245173,-282.02632965596536,-214.80562549905952,-175.85161886792181
lnbgs8_1,30293.75496048815,242466.88629425073,-325847.63626618794,62436.79424919546,894440.352157454,144701.62466481928,-2419462.671474765,1272076.3045902052,0.0,0.0,0.0,143.36552046391793,0.0,0.0,0.0
lnbgs8_2,33515.62464573416,230113.07216485342,-259909.9351047264,42899.4363653824,895340.471203263,147756.2043789379,-2325379.266907149,0.0,1256972.6738325001,0.0,0.0,0.0,132.83260532114164,0.0,0.0
lnbgs8_3,31002.574148440406,190238.44484000816,-139384.16233302688,11594.661693881499,756174.6190598289,129185.55527066212,-1927167.503373403,0.0,0.0,1073478.9204980927,0.0,0.0,0.0,105.22958818267324,0.0
lnbgs8_4,32080.025150951053,178634.4569228771,27241.182162905578,-36408.6173912847,678243.2456681144,127475.0219886436,-1770672.6324546314,0.0,0.0,0.0,1025191.0324474273,0.0,0.0,0.0,90.44933875260129
Ps_1,2.39557035594224,29.80651807374694,-98.6471884776536,27.75197515890151,127.35458304685162,12.52497988751292,-315.90821633245173,143.36552046391793,0.0,0.0,0.0,0.024009603971233643,0.0,0.0,0.0
Ps_2,2.6404605050506325,26.098034317258954,-87.15241505945949,24.370824098914248,119.69544607846998,12.484838465689563,-282.02632965596536,0.0,132.83260532114164,0.0,0.0,0.0,0.020978325585128542,0.0,0.0
Ps_3,2.3594192330607027,19.619271180758947,-64.46922610658461,17.79841297732755,95.6213816185108,10.369234440666938,-214.80562549905952,0.0,0.0,105.22958818267324,0.0,0.0,0.0,0.015645647928733096,0.0
Ps_4,2.2550660304260157,16.091371783956763,-48.36219129528933,12.932033890124467,81.87767521701416,9.289677342793366,-175.85161886792181,0.0,0.0,0.0,90.44933875260129,0.0,0.0,0.0,0.012576475301880104
