,wa,h,Omegab,Omegam,w0,sigma8,ns,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
wa,4245.387134712356,-155687.05534777365,20954.724528696526,60983.16686941184,16537.20569318674,13653.684802006817,-13496.734600749829,25793.38380163899,28918.845359384683,27269.515494057367,29091.48563306591,1.6869924945107941,1.8583019736487698,1.689475421039518,1.684108070576142
h,-155687.05534777365,13857255.367448755,-36283.98378095793,-4035745.2738044513,-770903.0443356478,-1677690.5584967667,112056.85709648847,-1859585.1235339572,-1824158.4341630358,-1555240.3391246903,-1493874.0169316765,-171.226365285141,-158.26040843834528,-126.29701024701491,-111.14964712751298
Omegab,20954.724528696526,-36283.98378095793,4617519.584292369,-1608766.2004150026,79081.7709634848,26498.127178941417,-883163.3244603521,-71156.11357504776,-30841.341963464394,31652.20654218184,155598.9229976142,-38.406157964613904,-34.987622864684056,-26.657127919380272,-20.261099106545764
Omegam,60983.16686941184,-4035745.2738044513,-1608766.2004150026,2286756.3509141803,242216.60289545738,326221.108661987,309791.69871833484,617341.3839961872,635825.4408550373,554974.7464423196,520821.7934685551,66.48683846567745,64.8407369745865,54.16381080754857,49.48482795045836
w0,16537.20569318674,-770903.0443356478,79081.7709634848,242216.60289545738,70445.53022422636,87333.03806523092,-55872.728071039106,123780.48263611122,128083.02029932785,114129.49484416918,116028.772446813,8.53464522265678,8.585139022114966,7.308651220585339,6.875209386316979
sigma8,13653.684802006817,-1677690.5584967667,26498.127178941417,326221.108661987,87333.03806523092,268611.6187327458,-39697.30962072154,200884.71634345173,193719.3522851684,163742.46360832563,159137.81865576224,17.68659949275492,16.008527581075963,12.580743807119063,11.048567939455687
ns,-13496.734600749829,112056.85709648847,-883163.3244603521,309791.69871833484,-55872.728071039106,-39697.30962072154,253169.99947044096,-18399.11778588996,-30762.058124498973,-44094.14842469468,-78793.89704344678,8.570120570832529,7.533717126146675,5.42898176144061,3.5923114529539055
lnbgs8_1,25793.38380163899,-1859585.1235339572,-71156.11357504776,617341.3839961872,123780.48263611122,200884.71634345173,-18399.11778588996,1011736.5080803619,0.0,0.0,0.0,84.28597990567326,0.0,0.0,0.0
lnbgs8_2,28918.845359384683,-1824158.4341630358,-30841.341963464394,635825.4408550373,128083.02029932785,193719.3522851684,-30762.058124498973,0.0,1018286.0251191922,0.0,0.0,0.0,80.46978010505987,0.0,0.0
lnbgs8_3,27269.515494057367,-1555240.3391246903,31652.20654218184,554974.7464423196,114129.49484416918,163742.46360832563,-44094.14842469468,0.0,0.0,891962.655810719,0.0,0.0,0.0,66.4002092593208,0.0
lnbgs8_4,29091.48563306591,-1493874.0169316765,155598.9229976142,520821.7934685551,116028.772446813,159137.81865576224,-78793.89704344678,0.0,0.0,0.0,886218.5836106486,0.0,0.0,0.0,60.84611655067485
Ps_1,1.6869924945107941,-171.226365285141,-38.406157964613904,66.48683846567745,8.53464522265678,17.68659949275492,8.570120570832529,84.28597990567326,0.0,0.0,0.0,0.009383294973771529,0.0,0.0,0.0
Ps_2,1.8583019736487698,-158.26040843834528,-34.987622864684056,64.8407369745865,8.585139022114966,16.008527581075963,7.533717126146675,0.0,80.46978010505987,0.0,0.0,0.0,0.008555174965774308,0.0,0.0
Ps_3,1.689475421039518,-126.29701024701491,-26.657127919380272,54.16381080754857,7.308651220585339,12.580743807119063,5.42898176144061,0.0,0.0,66.4002092593208,0.0,0.0,0.0,0.006741808180048015,0.0
Ps_4,1.684108070576142,-111.14964712751298,-20.261099106545764,49.48482795045836,6.875209386316979,11.048567939455687,3.5923114529539055,0.0,0.0,0.0,60.84611655067485,0.0,0.0,0.0,0.0058865812951500425
